#>P	ENSG00000163359	ENST00000295550	ENSP00000295550	2	237324777	237396817	-1	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]
#>E	ENSE00002292778,ENSE00003462216,ENSE00003530842,ENSE00003681061,ENSE00003579665,ENSE00003638362,ENSE00003464764,ENSE00002239746,ENSE00001073728,ENSE00003680788,ENSE00003468852,ENSE00003585821,ENSE00003543544,ENSE00003467345,ENSE00003553577,ENSE00003589018,ENSE00003568486,ENSE00003578545,ENSE00003530002,ENSE00003462722,ENSE00002249647,ENSE00002287340,ENSE00002210119,ENSE00002315355,ENSE00002295088,ENSE00002207593,ENSE00002317428,ENSE00002306233,ENSE00002247525,ENSE00002276843,ENSE00002222359,ENSE00002298215,ENSE00002303895,ENSE00002220388,ENSE00001266203,ENSE00001073780,ENSE00001073741,ENSE00001073779,ENSE00001073761,ENSE00001073762,ENSE00001073778,ENSE00001073784,ENSE00001339012	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	237324774-237324814,237325560-237325724,237333450-237333548,237334626-237334889,237336135-237336532,237339015-237339117,237340452-237341150,237342065-237342161,237344350-237344843,237344941-237344952,237345058-237345094,237345181-237345213,237346503-237346565,237347807-237347869,237348349-237348384,237348613-237348663,237350147-237350209,237351130-237351192,237352522-237352584,237353341-237353403,237354899-237354934,237357338-237357391,237357817-237357882,237358521-237358583,237359035-237359088,237359206-237359250,237359362-237359388,237360088-237360159,237361121-237361174,237361739-237361831,237363253-237363398,237364350-237364428,237365698-237366035,237366687-237367286,237368563-237369177,237371732-237372337,237374412-237375020,237376772-237377344,237378636-237379235,237380915-237381499,237387582-237388184,237394587-237395204,237396727-237396817
2	237359386	237361783	-1	Collagen	143.4	237359386-237359388,237360088-237360159,237361121-237361174,237361739-237361783	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
2	237371811	237372320	-1	VWF_A	1403.2	237371811-237372320	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237378709	237379218	-1	VWF_A	1403.2	237378709-237379218	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237363343	237366009	-1	VWF_A	1403.2	237363343-237363398,237364350-237364428,237365698-237366009	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237380985	237381479	-1	VWF_A	1403.2	237380985-237381479	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237374497	237375006	-1	VWF_A	1403.2	237374497-237375006	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237387655	237388170	-1	VWF_A	1403.2	237387655-237388170	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237368642	237369157	-1	VWF_A	1403.2	237368642-237369157	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237340501	237341061	-1	VWF_A	1403.2	237340501-237341061	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237344386	237344811	-1	VWF_A	1403.2	237344386-237344811	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237366754	237367272	-1	VWF_A	1403.2	237366754-237367272	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237376851	237377333	-1	VWF_A	1403.2	237376851-237377333	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237394666	237395181	-1	VWF_A	1403.2	237394666-237395181	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
2	237325567	237325722	-1	Kunitz_BPTI	69.9	237325567-237325722	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
