#>P	ENSG00000114270	ENST00000328333	ENSP00000332371	3	48564409	48595159	-1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]
#>E	ENSE00003644607,ENSE00003482916,ENSE00003547577,ENSE00003480673,ENSE00003593366,ENSE00003512462,ENSE00003461176,ENSE00003573881,ENSE00003536911,ENSE00003501656,ENSE00003573824,ENSE00003535852,ENSE00003489710,ENSE00003551619,ENSE00003681716,ENSE00003573784,ENSE00003637554,ENSE00003528589,ENSE00003692225,ENSE00003558468,ENSE00003595907,ENSE00003684788,ENSE00003523424,ENSE00003555529,ENSE00003690203,ENSE00003550102,ENSE00001063365,ENSE00001063401,ENSE00003522363,ENSE00003573289,ENSE00003565183,ENSE00003693777,ENSE00003505003,ENSE00003510603,ENSE00003520660,ENSE00003578737,ENSE00003606530,ENSE00003625405,ENSE00003593060,ENSE00003492735,ENSE00003475893,ENSE00003583589,ENSE00003619310,ENSE00003624209,ENSE00003568673,ENSE00003663041,ENSE00003506938,ENSE00003679735,ENSE00003663754,ENSE00003666487,ENSE00003546877,ENSE00003635481,ENSE00003597793,ENSE00003501008,ENSE00003579428,ENSE00003544427,ENSE00003571394,ENSE00003480810,ENSE00003640495,ENSE00003502693,ENSE00003630374,ENSE00003500554,ENSE00003582660,ENSE00003587795,ENSE00003598438,ENSE00003518671,ENSE00003465671,ENSE00003672586,ENSE00003679676,ENSE00003569071,ENSE00003664148,ENSE00003542849,ENSE00003468380,ENSE00003509404,ENSE00003487389,ENSE00003659806,ENSE00003534902,ENSE00003601819,ENSE00003463580,ENSE00003502309,ENSE00003530083,ENSE00003477534,ENSE00003548929,ENSE00001309912,ENSE00001327686,ENSE00001313615,ENSE00001290639,ENSE00001318273,ENSE00001294272,ENSE00001311262,ENSE00001330942,ENSE00001306313,ENSE00001328998,ENSE00001294173,ENSE00001306073,ENSE00001292995,ENSE00001304891,ENSE00001321531,ENSE00001302640,ENSE00001063341,ENSE00001063364,ENSE00001063400,ENSE00001063368,ENSE00001063419,ENSE00001063382,ENSE00001063349,ENSE00001063351,ENSE00001063412,ENSE00001063384,ENSE00001063333,ENSE00001063342,ENSE00001063356,ENSE00001063377,ENSE00001063409,ENSE00001063414,ENSE00001063390,ENSE00001063410,ENSE00001894534	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	48564406-48564422,48564783-48564980,48565109-48565201,48565410-48565496,48565636-48565668,48566267-48566315,48566510-48566563,48566660-48566737,48566907-48567023,48567128-48567190,48567574-48567636,48567710-48567763,48567838-48567891,48568090-48568170,48568499-48568534,48568784-48568855,48569375-48569446,48569592-48569648,48569725-48569760,48569880-48569915,48570134-48570178,48570275-48570334,48570465-48570500,48570639-48570710,48570861-48570968,48571101-48571160,48571243-48571278,48572001-48572045,48572127-48572171,48572380-48572421,48572503-48572538,48572671-48572739,48572862-48572942,48573021-48573056,48573174-48573236,48573316-48573348,48573513-48573557,48573690-48573725,48573855-48573890,48574262-48574306,48574488-48574550,48574677-48574721,48574797-48574865,48575064-48575126,48575207-48575242,48575339-48575539,48575626-48575748,48575867-48575902,48576249-48576296,48576400-48576435,48576522-48576557,48576676-48576771,48576884-48576919,48576992-48577027,48578321-48578365,48578453-48578515,48578919-48578954,48579197-48579277,48579369-48579404,48579480-48579515,48579588-48579668,48579785-48579814,48580031-48580057,48580300-48580344,48580581-48580652,48580882-48580926,48581122-48581157,48581260-48581340,48581448-48581483,48581573-48581632,48581706-48581759,48581911-48581943,48582323-48582358,48582478-48582513,48582609-48582653,48583013-48583048,48583127-48583171,48583393-48583428,48583556-48583615,48583718-48583780,48583900-48583953,48584035-48584061,48584298-48584375,48584485-48584556,48584734-48584769,48584910-48584945,48585036-48585116,48585557-48585619,48585690-48585734,48585830-48585856,48585940-48585975,48586074-48586246,48586332-48586478,48586563-48586689,48586972-48587108,48587190-48587336,48587420-48587554,48587793-48587939,48588282-48588404,48588642-48588788,48588870-48588995,48589327-48589470,48589599-48589718,48590213-48590356,48590459-48590584,48590673-48590816,48591464-48591592,48591673-48591822,48591898-48592014,48592102-48592248,48592351-48592467,48592570-48592699,48592775-48592938,48593102-48593263,48593356-48593449,48593537-48593696,48594368-48594548,48595075-48595159
3	48564814	48564975	-1	Kunitz_BPTI	63.8	48564814-48564975	PF00014	http://pfam.sanger.ac.uk/family?acc=PF00014
3	48591719	48591976	-1	FN3_dom	313.2	48591719-48591822,48591898-48591976	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
3	48587818	48588387	-1	FN3_dom	313.2	48587818-48587939,48588282-48588387	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
3	48592595	48592924	-1	FN3_dom	313.2	48592595-48592699,48592775-48592924	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
3	48590701	48591575	-1	FN3_dom	313.2	48590701-48590816,48591464-48591575	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
3	48592127	48592450	-1	FN3_dom	313.2	48592127-48592248,48592351-48592450	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
3	48590238	48590567	-1	FN3_dom	313.2	48590238-48590356,48590459-48590567	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
3	48589349	48589707	-1	FN3_dom	313.2	48589349-48589470,48589599-48589707	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
3	48588670	48588975	-1	FN3_dom	313.2	48588670-48588788,48588870-48588975	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
3	48567589	48567867	-1	Collagen	659.9	48567589-48567636,48567710-48567763,48567838-48567867	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48568799	48569627	-1	Collagen	659.9	48568799-48568855,48569375-48569446,48569592-48569627	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48572410	48572924	-1	Collagen	659.9	48572410-48572421,48572503-48572538,48572671-48572739,48572862-48572924	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48583019	48583603	-1	Collagen	659.9	48583019-48583048,48583127-48583171,48583393-48583428,48583556-48583603	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48570696	48571145	-1	Collagen	659.9	48570696-48570710,48570861-48570968,48571101-48571145	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48570323	48570914	-1	Collagen	659.9	48570323-48570334,48570465-48570500,48570639-48570710,48570861-48570914	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48569640	48570319	-1	Collagen	659.9	48569640-48569648,48569725-48569760,48569880-48569915,48570134-48570178,48570275-48570319	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48581938	48583144	-1	Collagen	659.9	48581938-48581943,48582323-48582358,48582478-48582513,48582609-48582653,48583013-48583048,48583127-48583144	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48575067	48575419	-1	Collagen	659.9	48575067-48575126,48575207-48575242,48575339-48575419	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48585084	48585945	-1	Collagen	659.9	48585084-48585116,48585557-48585619,48585690-48585734,48585830-48585856,48585940-48585945	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48568102	48568855	-1	Collagen	659.9	48568102-48568170,48568499-48568534,48568784-48568855	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48574292	48574844	-1	Collagen	659.9	48574292-48574306,48574488-48574550,48574677-48574721,48574797-48574844	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48566522	48566969	-1	Collagen	659.9	48566522-48566563,48566660-48566737,48566907-48566969	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48571149	48572388	-1	Collagen	659.9	48571149-48571160,48571243-48571278,48572001-48572045,48572127-48572171,48572380-48572388	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48584542	48585565	-1	Collagen	659.9	48584542-48584556,48584734-48584769,48584910-48584945,48585036-48585116,48585557-48585565	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
3	48586125	48587052	-1	VWF_A	220.2	48586125-48586246,48586332-48586478,48586563-48586689,48586972-48587052	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
3	48593169	48594522	-1	VWF_A	220.2	48593169-48593263,48593356-48593449,48593537-48593696,48594368-48594522	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
