#>P	ENSG00000069188	ENST00000392650	ENSP00000376421	17	73338590	73644088	-1	sidekick cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:19308]
#>E	ENSE00001585714,ENSE00003619174,ENSE00003567839,ENSE00003557180,ENSE00003477424,ENSE00003635436,ENSE00003590771,ENSE00003690307,ENSE00003488678,ENSE00003568338,ENSE00003633977,ENSE00003634385,ENSE00003563638,ENSE00003597574,ENSE00003669763,ENSE00003566045,ENSE00003660158,ENSE00003637290,ENSE00003509186,ENSE00003654102,ENSE00003567244,ENSE00003608586,ENSE00003547801,ENSE00003483912,ENSE00003552793,ENSE00003623679,ENSE00003552240,ENSE00003473265,ENSE00003473191,ENSE00003687706,ENSE00003640255,ENSE00003589039,ENSE00003501379,ENSE00003631763,ENSE00003684803,ENSE00003601703,ENSE00003552962,ENSE00001197707,ENSE00001421277,ENSE00001512673,ENSE00001512676,ENSE00001512678,ENSE00001512681,ENSE00001512684,ENSE00002489574	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	73338587-73338940,73348599-73348725,73350237-73350375,73350650-73350790,73352473-73352637,73358079-73358204,73361684-73361845,73365258-73365395,73368407-73368593,73379177-73379292,73379448-73379549,73380894-73380950,73383876-73384011,73385847-73385917,73386445-73386548,73387836-73388037,73390287-73390481,73391440-73391538,73393560-73393749,73394209-73394324,73395155-73395392,73398035-73398185,73398320-73398429,73399168-73399289,73401020-73401211,73401654-73401752,73401946-73402141,73414644-73414759,73415811-73415992,73419166-73419306,73422287-73422434,73423386-73423522,73423916-73424092,73430511-73430613,73431502-73431669,73433732-73433848,73435450-73435644,73437739-73437822,73437964-73438154,73440812-73440923,73447615-73447748,73455906-73456053,73472112-73472218,73507438-73507597,73644025-73644088
17	73472116	73507556	-1	Ig-like_dom	164.4	73472116-73472218,73507438-73507556	PF13895	http://pfam.sanger.ac.uk/family?acc=PF13895
17	73398140	73399278	-1	FN3_dom	574	73398140-73398185,73398320-73398429,73399168-73399278	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73361736	73365390	-1	FN3_dom	574	73361736-73361845,73365258-73365390	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73379479	73385906	-1	FN3_dom	574	73379479-73379549,73380894-73380950,73383876-73384011,73385847-73385906	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73415842	73419275	-1	FN3_dom	574	73415842-73415992,73419166-73419275	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73401054	73401744	-1	FN3_dom	574	73401054-73401211,73401654-73401744	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73390324	73391530	-1	FN3_dom	574	73390324-73390481,73391440-73391530	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73422301	73423485	-1	FN3_dom	574	73422301-73422434,73423386-73423485	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73393594	73394313	-1	FN3_dom	574	73393594-73393749,73394209-73394313	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73386479	73388008	-1	FN3_dom	574	73386479-73386548,73387836-73388008	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73395186	73398094	-1	FN3_dom	574	73395186-73395392,73398035-73398094	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73352495	73358193	-1	FN3_dom	574	73352495-73352637,73358079-73358193	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73401977	73414748	-1	FN3_dom	574	73401977-73402141,73414644-73414748	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73368438	73379281	-1	FN3_dom	574	73368438-73368593,73379177-73379281	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
17	73447643	73456042	-1	Ig_I-set	224.5	73447643-73447748,73455906-73456042	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
17	73435454	73437817	-1	Ig_I-set	224.5	73435454-73435644,73437739-73437817	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
17	73431506	73433840	-1	Ig_I-set	224.5	73431506-73431669,73433732-73433840	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
