#>P	ENSG00000276802	ENST00000632916	ENSP00000487606	CHR_HSCHR15_4_CTG8	28110944	28191305	-1	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]
#>E	ENSE00003782511,ENSE00003743505,ENSE00003725634,ENSE00003745049,ENSE00003727703,ENSE00003714262,ENSE00003778656,ENSE00003776484,ENSE00003779371,ENSE00003780613,ENSE00003783392,ENSE00003782540,ENSE00003779441,ENSE00003783339,ENSE00003775548,ENSE00003778257,ENSE00003783097,ENSE00003775832,ENSE00003778721,ENSE00003783736,ENSE00003776712,ENSE00003776892,ENSE00003783252,ENSE00003779004,ENSE00003783295,ENSE00003780300,ENSE00003783285,ENSE00003781253,ENSE00003776112,ENSE00003781585,ENSE00003780087,ENSE00003777014,ENSE00003782894,ENSE00003783758,ENSE00003782745,ENSE00003782003,ENSE00003776104,ENSE00003782278,ENSE00003775531,ENSE00003777703,ENSE00003780351	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	28110941-28111213,28112249-28112461,28112751-28112856,28113790-28113980,28114608-28114720,28115844-28116038,28116192-28116333,28120498-28120581,28123188-28123385,28124156-28124343,28129315-28129454,28129655-28129746,28131254-28131415,28131807-28131984,28134631-28134845,28140587-28140785,28140886-28141001,28141393-28141548,28141982-28142107,28143028-28143146,28143232-28143390,28143828-28143959,28145392-28145499,28151832-28151985,28162249-28162440,28166842-28166982,28167562-28167745,28168639-28168810,28173549-28173774,28174666-28174810,28175582-28175753,28175841-28175922,28176104-28176281,28176573-28176663,28178041-28178184,28178296-28178377,28181555-28181666,28185731-28185906,28190119-28190210,28190293-28190398,28191115-28191305
CHR_HSCHR15_4_CTG8	28111078	28115900	-1	HECT_dom	205.4	28111078-28111213,28112249-28112461,28112751-28112856,28113790-28113980,28114608-28114720,28115844-28115900	PF00632	http://pfam.sanger.ac.uk/family?acc=PF00632
CHR_HSCHR15_4_CTG8	28190157	28191158	-1	APC_su10/DOC_dom	24.8	28190157-28190210,28190293-28190398,28191115-28191158	PF03256	http://pfam.sanger.ac.uk/family?acc=PF03256
CHR_HSCHR15_4_CTG8	28131896	28134691	-1	Reg_chr_condens	559.1	28131896-28131984,28134631-28134691	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28175874	28176186	-1	Reg_chr_condens	559.1	28175874-28175922,28176104-28176186	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28131367	28131886	-1	Reg_chr_condens	559.1	28131367-28131415,28131807-28131886	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28129327	28129673	-1	Reg_chr_condens	559.1	28129327-28129454,28129655-28129673	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28134698	28140594	-1	Reg_chr_condens	559.1	28134698-28134845,28140587-28140594	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28176640	28178175	-1	Reg_chr_condens	559.1	28176640-28176663,28178041-28178175	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28124200	28129317	-1	Reg_chr_condens	559.1	28124200-28124343,28129315-28129317	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28173636	28174673	-1	Reg_chr_condens	559.1	28173636-28173774,28174666-28174673	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28175607	28175843	-1	Reg_chr_condens	559.1	28175607-28175753,28175841-28175843	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28176193	28176633	-1	Reg_chr_condens	559.1	28176193-28176281,28176573-28176633	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28174680	28175600	-1	Reg_chr_condens	559.1	28174680-28174810,28175582-28175600	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
CHR_HSCHR15_4_CTG8	28129680	28131336	-1	Reg_chr_condens	559.1	28129680-28129746,28131254-28131336	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
