#>P	ENSG00000274349	ENST00000612867	ENSP00000482540	9	66903562	66920743	1	zinc finger protein 658 [Source:HGNC Symbol;Acc:HGNC:25226]
#>E	ENSE00003719908,ENSE00003721129,ENSE00003784188,ENSE00003734161	0,0,1,0	66903562-66903576,66908238-66908364,66908639-66908734,66917805-66920746
9	66908241	66908640	1	KRAB	77.3	66908241-66908364,66908639-66908640	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
9	66919958	66920026	1	Znf_C2H2	137.1	66919958-66920026	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
9	66920630	66920689	1	Znf_C2H2	137.1	66920630-66920689	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
9	66919454	66919519	1	Znf_C2H2	137.1	66919454-66919519	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
9	66920462	66920530	1	Znf_C2H2	369.5	66920462-66920530	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	66918884	66918952	1	Znf_C2H2	369.5	66918884-66918952	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	66919286	66919354	1	Znf_C2H2	369.5	66919286-66919354	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	66920546	66920614	1	Znf_C2H2	369.5	66920546-66920614	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	66920126	66920194	1	Znf_C2H2	369.5	66920126-66920194	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	66919538	66919606	1	Znf_C2H2	369.5	66919538-66919606	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	66920378	66920446	1	Znf_C2H2	369.5	66920378-66920446	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	66920210	66920275	1	Znf_C2H2	369.5	66920210-66920275	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
