#>P	ENSG00000172037	ENST00000418109	ENSP00000388325	3	49121229	49132867	-1	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]
#>E	ENSE00001729160,ENSE00003674384,ENSE00003579499,ENSE00003557396,ENSE00001168039,ENSE00001168046,ENSE00001168051,ENSE00003555417,ENSE00001748125,ENSE00003588134,ENSE00001643416,ENSE00003606810,ENSE00003628969,ENSE00001709431,ENSE00003610996,ENSE00003539865,ENSE00003471805,ENSE00003657931,ENSE00001601025,ENSE00003491264,ENSE00001722060,ENSE00001797024,ENSE00001659981,ENSE00001776946,ENSE00001734178,ENSE00001800160,ENSE00001728544,ENSE00001788873,ENSE00001600792,ENSE00001795065,ENSE00001778336,ENSE00001726282	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	49121226-49121362,49121433-49121592,49121684-49121860,49121944-49122085,49122163-49122370,49122704-49123052,49123132-49123373,49123447-49123631,49123728-49124100,49124190-49124286,49124395-49124612,49124701-49124925,49125006-49125169,49125253-49125484,49125747-49125890,49125967-49126159,49126365-49126497,49128458-49128585,49128661-49128819,49129020-49129152,49129245-49129324,49129604-49129716,49129839-49130018,49130231-49130419,49130740-49130860,49130950-49131152,49131379-49131442,49131535-49131723,49132116-49132189,49132270-49132405,49132491-49132663,49132792-49132867
3	49131022	49132601	-1	Laminin_N	249.8	49131022-49131152,49131379-49131442,49131535-49131723,49132116-49132189,49132270-49132405,49132491-49132601	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
3	49124446	49124610	-1	Laminin_EGF	374.1	49124446-49124610	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49125354	49125482	-1	Laminin_EGF	374.1	49125354-49125482	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49129295	49129714	-1	Laminin_EGF	374.1	49129295-49129324,49129604-49129714	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49130768	49131018	-1	Laminin_EGF	374.1	49130768-49130860,49130950-49131018	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49124206	49124439	-1	Laminin_EGF	374.1	49124206-49124286,49124395-49124439	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49123976	49124098	-1	Laminin_EGF	374.1	49123976-49124098	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49125751	49125888	-1	Laminin_EGF	374.1	49125751-49125888	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49129068	49129279	-1	Laminin_EGF	374.1	49129068-49129152,49129245-49129279	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49125118	49125344	-1	Laminin_EGF	374.1	49125118-49125169,49125253-49125344	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49124861	49125111	-1	Laminin_EGF	374.1	49124861-49124925,49125006-49125111	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49124705	49124854	-1	Laminin_EGF	374.1	49124705-49124854	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49130250	49130417	-1	Laminin_EGF	374.1	49130250-49130417	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
3	49129843	49130016	-1	Laminin_EGF	374.1	49129843-49130016	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
