#>P	ENSG00000130702	ENST00000252999	ENSP00000252999	20	62309339	62367245	-1	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]
#>E	ENSE00001718334,ENSE00003655078,ENSE00003474410,ENSE00003624414,ENSE00000897388,ENSE00003721327,ENSE00003741939,ENSE00003716301,ENSE00003532462,ENSE00003641980,ENSE00003715629,ENSE00003646354,ENSE00003658406,ENSE00003717885,ENSE00000897441,ENSE00003732105,ENSE00003726252,ENSE00003722495,ENSE00001690195,ENSE00001753363,ENSE00001771710,ENSE00001633945,ENSE00001791759,ENSE00001635743,ENSE00001591530,ENSE00001673813,ENSE00001761863,ENSE00001721911,ENSE00001653265,ENSE00001624779,ENSE00001628519,ENSE00001732494,ENSE00001646359,ENSE00001690936,ENSE00001776024,ENSE00001679650,ENSE00003482433,ENSE00003627966,ENSE00001789995,ENSE00001684418,ENSE00001736657,ENSE00001699058,ENSE00001798290,ENSE00001639303,ENSE00001700939,ENSE00001703467,ENSE00001637463,ENSE00001630917,ENSE00001763595,ENSE00001668273,ENSE00001756290,ENSE00001658020,ENSE00001799288,ENSE00001596708,ENSE00001617270,ENSE00001742713,ENSE00001785748,ENSE00001686341,ENSE00001790562,ENSE00003463358,ENSE00003682961,ENSE00003650244,ENSE00003497606,ENSE00003467771,ENSE00001743768,ENSE00001767007,ENSE00001671072,ENSE00001757654,ENSE00001655361,ENSE00003741612,ENSE00003751879,ENSE00003747809,ENSE00003625689,ENSE00003632951,ENSE00003694446,ENSE00003745466,ENSE00003751511,ENSE00003748883,ENSE00003718380,ENSE00001622903	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	62309336-62309475,62309716-62309835,62309988-62310081,62310178-62310311,62310419-62310572,62310665-62310829,62310902-62311094,62311162-62311307,62311401-62311536,62311614-62311784,62311920-62312050,62312173-62312316,62312400-62312532,62312632-62312780,62312888-62313010,62313088-62313250,62313327-62313460,62313649-62313802,62314304-62314440,62314555-62314725,62314799-62314947,62315028-62315207,62315948-62316058,62316671-62316773,62316882-62317023,62317345-62317499,62317662-62317778,62318454-62318650,62318843-62319013,62319684-62319795,62320559-62320669,62320739-62320890,62322019-62322168,62322269-62322449,62322658-62322758,62323456-62323670,62323776-62323856,62324080-62324204,62324441-62324554,62325316-62325546,62326677-62326760,62326865-62326966,62327233-62327406,62327529-62327669,62327866-62328010,62328241-62328445,62328844-62329055,62329138-62329253,62329777-62329916,62330488-62330614,62330743-62330944,62331032-62331129,62332372-62332480,62332557-62332717,62333090-62333243,62333375-62333481,62333564-62333706,62333901-62334039,62334186-62334342,62334522-62334621,62335021-62335126,62335217-62335269,62336340-62336445,62336734-62336786,62337590-62337727,62337804-62337938,62338016-62338150,62338232-62338369,62338468-62338608,62345818-62345877,62346081-62346215,62346506-62346596,62346682-62346800,62346913-62347028,62351704-62351801,62351909-62352079,62352242-62352360,62353134-62353251,62362400-62362552,62366949-62367245
20	62325358	62327268	-1	Laminin_IV	112	62325358-62325546,62326677-62326760,62326865-62326966,62327233-62327268	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
20	62317668	62320813	-1	Laminin_aI	279.2	62317668-62317778,62318454-62318650,62318843-62319013,62319684-62319795,62320559-62320669,62320739-62320813	PF06008	http://pfam.sanger.ac.uk/family?acc=PF06008
20	62314636	62315181	-1	Laminin_domII	135.2	62314636-62314725,62314799-62314947,62315028-62315181	PF06009	http://pfam.sanger.ac.uk/family?acc=PF06009
20	62351766	62367110	-1	Laminin_N	261.2	62351766-62351801,62351909-62352079,62352242-62352360,62353134-62353251,62362400-62362552,62366949-62367110	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
20	62312472	62313132	-1	Laminin_G	209.7	62312472-62312532,62312632-62312780,62312888-62313010,62313088-62313132	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	62310522	62311069	-1	Laminin_G	209.7	62310522-62310572,62310665-62310829,62310902-62311069	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	62313413	62314581	-1	Laminin_G	209.7	62313413-62313460,62313649-62313802,62314304-62314440,62314555-62314581	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	62311619	62312220	-1	Laminin_G	209.7	62311619-62311784,62311920-62312050,62312173-62312220	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	62309408	62310264	-1	Laminin_G	209.7	62309408-62309475,62309716-62309835,62309988-62310081,62310178-62310264	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
20	62323460	62323615	-1	Laminin_EGF	516.2	62323460-62323615	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62336776	62337725	-1	Laminin_EGF	516.2	62336776-62336786,62337590-62337725	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62327944	62328311	-1	Laminin_EGF	516.2	62327944-62328010,62328241-62328311	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62324528	62325357	-1	Laminin_EGF	516.2	62324528-62324554,62325316-62325357	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62337811	62337936	-1	Laminin_EGF	516.2	62337811-62337936	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62322414	62322756	-1	Laminin_EGF	516.2	62322414-62322449,62322658-62322756	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62323622	62324111	-1	Laminin_EGF	516.2	62323622-62323670,62323776-62323856,62324080-62324111	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62338481	62338606	-1	Laminin_EGF	516.2	62338481-62338606	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62346932	62351762	-1	Laminin_EGF	516.2	62346932-62347028,62351704-62351762	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62334324	62334619	-1	Laminin_EGF	516.2	62334324-62334342,62334522-62334619	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62324118	62324494	-1	Laminin_EGF	516.2	62324118-62324204,62324441-62324494	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62346510	62346798	-1	Laminin_EGF	516.2	62346510-62346596,62346682-62346798	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62338023	62338148	-1	Laminin_EGF	516.2	62338023-62338148	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62335025	62335267	-1	Laminin_EGF	516.2	62335025-62335126,62335217-62335267	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62322164	62322407	-1	Laminin_EGF	516.2	62322164-62322168,62322269-62322407	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62328435	62328979	-1	Laminin_EGF	516.2	62328435-62328445,62328844-62328979	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62327592	62327934	-1	Laminin_EGF	516.2	62327592-62327669,62327866-62327934	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62338242	62338367	-1	Laminin_EGF	516.2	62338242-62338367	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
20	62346088	62346213	-1	Laminin_EGF	516.2	62346088-62346213	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
