#>P	ENSG00000196597	ENST00000481138	ENSP00000419397	9	96817926	96851961	-1	zinc finger protein 782 [Source:HGNC Symbol;Acc:HGNC:33110]
#>E	ENSE00001837263,ENSE00003694541,ENSE00001707228,ENSE00003549908	0,0,0,0	96817923-96819778,96827080-96827181,96844890-96845016,96851947-96851961
9	96827180	96845013	-1	KRAB	78.7	96827180-96827181,96844890-96845013	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
9	96818775	96818843	-1	Znf_C2H2	242.8	96818775-96818843	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	96818271	96818339	-1	Znf_C2H2	242.8	96818271-96818339	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	96818103	96818171	-1	Znf_C2H2	242.8	96818103-96818171	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	96818019	96818087	-1	Znf_C2H2	242.8	96818019-96818087	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	96818523	96818591	-1	Znf_C2H2	242.8	96818523-96818591	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	96818691	96818759	-1	Znf_C2H2	242.8	96818691-96818759	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	96818187	96818255	-1	Znf_C2H2	242.8	96818187-96818255	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	96817935	96818003	-1	Znf_C2H2	242.8	96817935-96818003	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
9	96818607	96818675	-1	Znf_C2H2	99.5	96818607-96818675	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
9	96818439	96818507	-1	Znf_C2H2	99.5	96818439-96818507	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
