#>P	ENSG00000188107	ENST00000370621	ENSP00000359655	6	63720599	65495410	-1	eyes shut homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:21555]
#>E	ENSE00000757769,ENSE00001668994,ENSE00001790871,ENSE00001533737,ENSE00001533739,ENSE00003519686,ENSE00003507832,ENSE00001533744,ENSE00001533745,ENSE00001801545,ENSE00001763466,ENSE00001741812,ENSE00001776248,ENSE00001764216,ENSE00001742499,ENSE00001737817,ENSE00001774255,ENSE00001616620,ENSE00001754122,ENSE00001774849,ENSE00003515400,ENSE00003632823,ENSE00001453168,ENSE00001453170,ENSE00001614643,ENSE00000798529,ENSE00001776042,ENSE00001320118,ENSE00001453166,ENSE00001698002,ENSE00001453165,ENSE00001944389,ENSE00001722114,ENSE00001515080,ENSE00001367595,ENSE00001376348,ENSE00001374135,ENSE00001364832,ENSE00001391635,ENSE00001383234,ENSE00003593910	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	63720596-63721797,63726519-63726680,63741913-63741975,63762461-63762633,63778006-63778180,63788105-63788249,63789058-63789224,63806190-63806372,63864186-63864358,63984383-63984603,63999075-63999183,64066338-64066491,64081856-64082002,64230592-64230824,64306970-64307082,64388690-64388840,64436174-64436265,64439162-64439352,64590223-64591989,64593117-64593309,64617418-64617533,64626121-64626245,64813378-64813577,64821645-64821723,64822651-64822822,64886697-64886842,64902113-64902220,64902404-64902500,64912484-64912743,64945793-64945914,64997582-64997703,65057614-65057727,65295863-65296119,65334980-65335146,65344038-65344177,65353458-65353617,65384386-65384500,65402478-65402605,65405174-65405367,65490594-65490707,65494663-65495410
6	64822812	64886724	-1	EGF-like_CS	39.7	64822812-64822822,64886697-64886724	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
6	64307026	64439266	-1	Laminin_G	238.9	64307026-64307082,64388690-64388840,64436174-64436265,64439162-64439266	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
6	63984487	64081892	-1	Laminin_G	238.9	63984487-63984603,63999075-63999183,64066338-64066491,64081856-64081892	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
6	63720680	63721075	-1	Laminin_G	238.9	63720680-63721075	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
6	64617520	64626196	-1	EGF-like_dom	285.6	64617520-64617533,64626121-64626196	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	64230605	64230709	-1	EGF-like_dom	285.6	64230605-64230709	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	63762603	63778064	-1	EGF-like_dom	285.6	63762603-63762633,63778006-63778064	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	64813482	64813574	-1	EGF-like_dom	285.6	64813482-64813574	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	64886806	64902165	-1	EGF-like_dom	285.6	64886806-64886842,64902113-64902165	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	65057618	65057698	-1	EGF-like_dom	285.6	65057618-65057698	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	64822704	64822793	-1	EGF-like_dom	285.6	64822704-64822793	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	64912713	64945851	-1	EGF-like_dom	285.6	64912713-64912743,64945793-64945851	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	63762471	63762578	-1	EGF-like_dom	285.6	63762471-63762578	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	64626221	64813442	-1	EGF-like_dom	285.6	64626221-64626245,64813378-64813442	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	65494781	65494864	-1	EGF-like_dom	285.6	65494781-65494864	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
6	63778155	63806232	-1	Laminin_G	227.3	63778155-63778180,63788105-63788249,63789058-63789224,63806190-63806232	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
6	63721457	63726570	-1	Laminin_G	227.3	63721457-63721797,63726519-63726570	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
