#>P	ENSG00000130844	ENST00000253144	ENSP00000253144	19	53569377	53577949	1	zinc finger protein 331 [Source:HGNC Symbol;Acc:HGNC:15489]
#>E	ENSE00001426577,ENSE00002436541,ENSE00001388872	0,0,0	53569377-53569385,53571604-53571730,53576697-53577952
19	53571607	53576698	1	KRAB	88.9	53571607-53571730,53576697-53576698	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	53577119	53577187	1	Znf_C2H2	108.2	53577119-53577187	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53577455	53577517	1	Znf_C2H2	108.2	53577455-53577517	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53577707	53577769	1	Znf_C2H2	108.2	53577707-53577769	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53577371	53577439	1	Znf_C2H2	108.2	53577371-53577439	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53577791	53577865	1	Znf_C2H2	108.2	53577791-53577865	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53577035	53577103	1	Znf_C2H2	108.2	53577035-53577103	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53577539	53577607	1	Znf_C2H2	108.2	53577539-53577607	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53577287	53577355	1	Znf_C2H2	163.3	53577287-53577355	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53576951	53577019	1	Znf_C2H2	163.3	53576951-53577019	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53577203	53577271	1	Znf_C2H2	163.3	53577203-53577271	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
