#>P	ENSG00000173366	ENST00000494383	ENSP00000417517	3	52221220	52231190	-1	\N
#>E	ENSE00001886313,ENSE00003502589,ENSE00003676427,ENSE00003682037,ENSE00001876016	0,0,0,0,0	52221217-52224312,52229661-52229782,52229920-52230070,52230870-52230995,52231127-52231190
3	52229668	52230918	-1	ADF-H	65.6	52229668-52229782,52229920-52230070,52230870-52230918	PF00241	http://pfam.sanger.ac.uk/family?acc=PF00241
3	52221275	52221700	-1	TIR_dom	28.8	52221275-52221700	PF01582	http://pfam.sanger.ac.uk/family?acc=PF01582
3	52223360	52223494	-1	Leu-rich_rpt	293.9	52223360-52223494	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
3	52222784	52222888	-1	Leu-rich_rpt	293.9	52222784-52222888	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
3	52222319	52222450	-1	Leu-rich_rpt	293.9	52222319-52222450	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
3	52222649	52222783	-1	Leu-rich_rpt	293.9	52222649-52222783	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
3	52223552	52223716	-1	Leu-rich_rpt	293.9	52223552-52223716	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
3	52224023	52224124	-1	Leu-rich_rpt	293.9	52224023-52224124	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
3	52222028	52222210	-1	Leu-rich_rpt	293.9	52222028-52222210	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
3	52223909	52223947	-1	Leu-rich_rpt	40.6	52223909-52223947	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
3	52222550	52222597	-1	Leu-rich_rpt	40.6	52222550-52222597	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
