#>P	ENSG00000053747	ENST00000313654	ENSP00000324532	18	23689684	23954645	1	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]
#>E	ENSE00002819677,ENSE00001109695,ENSE00001109701,ENSE00001109673,ENSE00000915302,ENSE00000915303,ENSE00001109697,ENSE00001109669,ENSE00001109671,ENSE00001109704,ENSE00001109682,ENSE00001109703,ENSE00001109677,ENSE00001109709,ENSE00001109665,ENSE00001109679,ENSE00001109674,ENSE00001109685,ENSE00001109676,ENSE00001109683,ENSE00001109688,ENSE00001109668,ENSE00001109686,ENSE00003638548,ENSE00001222103,ENSE00001109702,ENSE00001109664,ENSE00001109693,ENSE00001109711,ENSE00001109689,ENSE00001426077,ENSE00001109692,ENSE00001109699,ENSE00001109667,ENSE00002712166,ENSE00001146020,ENSE00000948659,ENSE00001146014,ENSE00000948613,ENSE00000948608,ENSE00001136467,ENSE00001413554,ENSE00001109770,ENSE00001109767,ENSE00003579345,ENSE00003463945,ENSE00003499000,ENSE00003566698,ENSE00003626876,ENSE00003516019,ENSE00003557575,ENSE00003682989,ENSE00003603639,ENSE00003619747,ENSE00003654397,ENSE00003508028,ENSE00003630361,ENSE00003563647,ENSE00003555413,ENSE00003625465,ENSE00003587308,ENSE00003542194,ENSE00003596126,ENSE00003594674,ENSE00003547045,ENSE00003558318,ENSE00003690348,ENSE00003683765,ENSE00003576290,ENSE00003523652,ENSE00003550360,ENSE00003670732,ENSE00003643714,ENSE00003625431,ENSE00001179054	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	23689684-23689977,23713920-23714072,23747943-23748060,23749428-23749546,23750918-23751088,23753721-23753812,23758396-23758511,23763405-23763523,23773497-23773587,23775792-23775923,23777557-23777619,23784023-23784157,23810366-23810503,23813057-23813103,23814403-23814502,23815188-23815240,23815468-23815573,23816388-23816487,23819841-23819997,23822252-23822375,23824423-23824565,23826702-23826799,23827314-23827467,23833828-23833988,23836981-23837089,23838781-23838878,23839785-23839929,23842395-23842521,23842611-23842750,23845009-23845124,23846297-23846508,23847464-23847668,23857844-23857988,23858689-23858829,23861646-23861807,23864785-23864883,23867834-23867917,23871431-23871661,23876294-23876407,23881936-23882045,23884773-23884853,23890011-23890117,23894298-23894348,23894907-23895058,23898738-23898848,23898954-23899065,23899288-23899455,23901127-23901323,23903009-23903125,23903933-23904087,23904553-23904694,23905522-23905624,23907550-23907666,23907756-23907935,23909153-23909295,23912711-23912881,23914410-23914561,23914698-23914860,23915289-23915422,23916551-23916695,23920935-23921054,23921452-23921585,23928123-23928240,23928625-23928765,23931062-23931201,23932160-23932291,23933782-23933935,23939223-23939386,23943788-23943971,23946144-23946284,23949765-23949924,23950029-23950159,23951684-23951777,23952990-23953109,23954503-23954648
18	23689825	23753756	1	Laminin_N	260.5	23689825-23689977,23713920-23714072,23747943-23748060,23749428-23749546,23750918-23751088,23753721-23753756	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
18	23912855	23915333	1	Laminin_G	249.3	23912855-23912881,23914410-23914561,23914698-23914860,23915289-23915333	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
18	23950073	23954576	1	Laminin_G	249.3	23950073-23950159,23951684-23951777,23952990-23953109,23954503-23954576	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
18	23943810	23949818	1	Laminin_G	249.3	23943810-23943971,23946144-23946284,23949765-23949818	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
18	23916651	23928171	1	Laminin_G	249.3	23916651-23916695,23920935-23921054,23921452-23921585,23928123-23928171	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
18	23928718	23932286	1	Laminin_G	249.3	23928718-23928765,23931062-23931201,23932160-23932286	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
18	23907782	23912800	1	Laminin_domII	131.5	23907782-23907935,23909153-23909295,23912711-23912800	PF06009	http://pfam.sanger.ac.uk/family?acc=PF06009
18	23861775	23871619	1	Laminin_IV	88	23861775-23861807,23864785-23864883,23867834-23867917,23871431-23871619	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
18	23894984	23903122	1	Laminin_aI	307.1	23894984-23895058,23898738-23898848,23898954-23899065,23899288-23899455,23901127-23901323,23903009-23903122	PF06008	http://pfam.sanger.ac.uk/family?acc=PF06008
18	23815190	23815569	1	Laminin_EGF	325.3	23815190-23815240,23815468-23815569	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23847598	23857910	1	Laminin_EGF	325.3	23847598-23847668,23857844-23857910	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23775794	23775910	1	Laminin_EGF	325.3	23775794-23775910	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23816390	23819859	1	Laminin_EGF	325.3	23816390-23816487,23819841-23819859	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23882023	23890059	1	Laminin_EGF	325.3	23882023-23882045,23884773-23884853,23890011-23890059	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23876354	23882016	1	Laminin_EGF	325.3	23876354-23876407,23881936-23882016	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23763407	23773550	1	Laminin_EGF	325.3	23763407-23763523,23773497-23773550	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23784025	23784147	1	Laminin_EGF	325.3	23784025-23784147	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23810368	23813058	1	Laminin_EGF	325.3	23810368-23810503,23813057-23813058	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23857920	23858766	1	Laminin_EGF	325.3	23857920-23857988,23858689-23858766	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23871623	23876326	1	Laminin_EGF	325.3	23871623-23871661,23876294-23876326	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
18	23846373	23847474	1	Laminin_EGF	325.3	23846373-23846508,23847464-23847474	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
