#>P	ENSG00000135253	ENST00000610776	ENSP00000479679	7	128877046	128910676	-1	kielin/chordin-like protein [Source:HGNC Symbol;Acc:HGNC:17585]
#>E	ENSE00003713238,ENSE00003738134,ENSE00003712612,ENSE00003715743,ENSE00003734462,ENSE00003726174,ENSE00003718192,ENSE00003748792,ENSE00003712988,ENSE00003752275,ENSE00003732925,ENSE00003717642,ENSE00003717042,ENSE00003721596,ENSE00003738627,ENSE00003726417,ENSE00003725090,ENSE00003743073,ENSE00003727782,ENSE00003730372,ENSE00003714896,ENSE00003719614,ENSE00003739918,ENSE00003746903,ENSE00003729303,ENSE00003717808,ENSE00003748220,ENSE00003745323,ENSE00003736710,ENSE00003727032,ENSE00003718780,ENSE00003750305,ENSE00003748576,ENSE00003715852,ENSE00003751342,ENSE00003752537,ENSE00003729006,ENSE00003745650,ENSE00003734157,ENSE00003741699	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	128877043-128877311,128877484-128877790,128878558-128878722,128879522-128879623,128879718-128879829,128879913-128880085,128880386-128880528,128880619-128880721,128880997-128881085,128881626-128881725,128881937-128882016,128884002-128884122,128884781-128884863,128885097-128885270,128886464-128886557,128886655-128886737,128886876-128886966,128887215-128887300,128888863-128889039,128890343-128890513,128890905-128891096,128891185-128891278,128891451-128891533,128891646-128891819,128892514-128892607,128892688-128892794,128892869-128893021,128893238-128893319,128893391-128893476,128893806-128893899,128893976-128894055,128894200-128894293,128902777-128902859,128903727-128903820,128904056-128904138,128906279-128906363,128907101-128907177,128907264-128907453,128908426-128908568,128910601-128910676
7	128878600	128880022	-1	VWF_type-D	126.8	128878600-128878722,128879522-128879623,128879718-128879829,128879913-128880022	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
7	128893810	128894053	-1	VWF_dom	427.2	128893810-128893899,128893976-128894053	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
7	128906286	128907175	-1	VWF_dom	427.2	128906286-128906363,128907101-128907175	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
7	128891189	128891531	-1	VWF_dom	427.2	128891189-128891278,128891451-128891531	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
7	128903731	128904136	-1	VWF_dom	427.2	128903731-128903820,128904056-128904136	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
7	128892775	128893019	-1	VWF_dom	427.2	128892775-128892794,128892869-128893019	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
7	128894204	128902857	-1	VWF_dom	427.2	128894204-128894293,128902777-128902857	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
7	128880623	128881068	-1	VWF_dom	427.2	128880623-128880721,128880997-128881068	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
7	128892518	128892768	-1	VWF_dom	427.2	128892518-128892607,128892688-128892768	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
7	128886468	128886735	-1	VWF_dom	427.2	128886468-128886557,128886655-128886735	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
7	128880041	128880514	-1	VWF_dom	427.2	128880041-128880085,128880386-128880514	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
