#>P	ENSG00000128731	ENST00000261609	ENSP00000261609	15	28111766	28321433	-1	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]
#>E	ENSE00001294002,ENSE00003514955,ENSE00003594809,ENSE00003531123,ENSE00003690491,ENSE00003618575,ENSE00001315635,ENSE00001275726,ENSE00001276251,ENSE00001275732,ENSE00001275740,ENSE00001275747,ENSE00001275755,ENSE00001275763,ENSE00001275770,ENSE00001328154,ENSE00001299639,ENSE00001320885,ENSE00001321145,ENSE00001308643,ENSE00001324865,ENSE00001302016,ENSE00001313253,ENSE00001275813,ENSE00001275816,ENSE00001275823,ENSE00001312763,ENSE00001275836,ENSE00001275842,ENSE00001275847,ENSE00001275855,ENSE00001275860,ENSE00001275867,ENSE00001275876,ENSE00001275883,ENSE00001275886,ENSE00001275892,ENSE00001275897,ENSE00001275902,ENSE00003567743,ENSE00003599109,ENSE00003533474,ENSE00003473156,ENSE00003559254,ENSE00003682976,ENSE00003514203,ENSE00003662130,ENSE00001624156,ENSE00001601100,ENSE00001635918,ENSE00001633210,ENSE00001802061,ENSE00001721873,ENSE00001674960,ENSE00001606066,ENSE00001638011,ENSE00001663884,ENSE00001734407,ENSE00003486976,ENSE00001774942,ENSE00000672211,ENSE00000672210,ENSE00001725691,ENSE00001623761,ENSE00001729623,ENSE00001766055,ENSE00001700117,ENSE00001733476,ENSE00001594984,ENSE00001634587,ENSE00000883379,ENSE00000672194,ENSE00000883380,ENSE00000883381,ENSE00003646934,ENSE00003597239,ENSE00003560366,ENSE00003536055,ENSE00003523102,ENSE00003559866,ENSE00003509269,ENSE00003463848,ENSE00003556072,ENSE00003580219,ENSE00003666202,ENSE00003645688,ENSE00003557272,ENSE00003601325,ENSE00003459473,ENSE00003487503,ENSE00001744235,ENSE00003655270	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	28111763-28112035,28113071-28113283,28113573-28113678,28114612-28114802,28115429-28115541,28116665-28116859,28117013-28117154,28121346-28121429,28124037-28124234,28125006-28125193,28130163-28130302,28130503-28130594,28132100-28132261,28132653-28132830,28135478-28135692,28141432-28141630,28141731-28141846,28142238-28142393,28142827-28142952,28143873-28143991,28144077-28144235,28144673-28144804,28146237-28146344,28152677-28152830,28163094-28163285,28167687-28167827,28168407-28168590,28169484-28169655,28174395-28174620,28175512-28175656,28176428-28176599,28176687-28176768,28176950-28177127,28177419-28177509,28178887-28179030,28179142-28179223,28182401-28182512,28186577-28186752,28190965-28191056,28191139-28191244,28191961-28192151,28196215-28196354,28196461-28196569,28198378-28198503,28198601-28198769,28201456-28201554,28202113-28202249,28202347-28202614,28206240-28206382,28211002-28211145,28212445-28212583,28213742-28213972,28214076-28214272,28214655-28214802,28215621-28215802,28218489-28218671,28220452-28220644,28222028-28222215,28228218-28228409,28229195-28229346,28229460-28229596,28229674-28229847,28230367-28230500,28233146-28233341,28233434-28233561,28233664-28233796,28234070-28234284,28236963-28237113,28238114-28238217,28238602-28238772,28245881-28246066,28246742-28246897,28248552-28248736,28254340-28254518,28255872-28255996,28256089-28256317,28257061-28257261,28260777-28260970,28262918-28263169,28265618-28265731,28265817-28265974,28268465-28268616,28269248-28269436,28270695-28270868,28272215-28272386,28272894-28273004,28274291-28274447,28274905-28275005,28280068-28280287,28292888-28293022,28299402-28299516,28321362-28321433
15	28220510	28222072	-1	Mib_Herc2	77.6	28220510-28220644,28222028-28222072	PF06701	http://pfam.sanger.ac.uk/family?acc=PF06701
15	28191004	28192005	-1	APC_su10/DOC_dom	23.5	28191004-28191056,28191139-28191244,28191961-28192005	PF03256	http://pfam.sanger.ac.uk/family?acc=PF03256
15	28196249	28196477	-1	Znf_ZZ	38.6	28196249-28196354,28196461-28196477	PF00569	http://pfam.sanger.ac.uk/family?acc=PF00569
15	28111901	28116722	-1	HECT_dom	203.9	28111901-28112035,28113071-28113283,28113573-28113678,28114612-28114802,28115429-28115541,28116665-28116722	PF00632	http://pfam.sanger.ac.uk/family?acc=PF00632
15	28175527	28176447	-1	Reg_chr_condens	744.2	28175527-28175656,28176428-28176447	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28260921	28263017	-1	Reg_chr_condens	744.2	28260921-28260970,28262918-28263017	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28174483	28175520	-1	Reg_chr_condens	744.2	28174483-28174620,28175512-28175520	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28177040	28177480	-1	Reg_chr_condens	744.2	28177040-28177127,28177419-28177480	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28176721	28177033	-1	Reg_chr_condens	744.2	28176721-28176768,28176950-28177033	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28177487	28179022	-1	Reg_chr_condens	744.2	28177487-28177509,28178887-28179022	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28130529	28132183	-1	Reg_chr_condens	744.2	28130529-28130594,28132100-28132183	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28125051	28130166	-1	Reg_chr_condens	744.2	28125051-28125193,28130163-28130166	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28263024	28265621	-1	Reg_chr_condens	744.2	28263024-28263169,28265618-28265621	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28130176	28130522	-1	Reg_chr_condens	744.2	28130176-28130302,28130503-28130522	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28132743	28135539	-1	Reg_chr_condens	744.2	28132743-28132830,28135478-28135539	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28265875	28268523	-1	Reg_chr_condens	744.2	28265875-28265974,28268465-28268523	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28265652	28265868	-1	Reg_chr_condens	744.2	28265652-28265731,28265817-28265868	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28135546	28141440	-1	Reg_chr_condens	744.2	28135546-28135692,28141432-28141440	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28132214	28132733	-1	Reg_chr_condens	744.2	28132214-28132261,28132653-28132733	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28176454	28176690	-1	Reg_chr_condens	744.2	28176454-28176599,28176687-28176690	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
15	28238120	28238716	-1	Cyt_B5-like_heme/steroid-bd	39.7	28238120-28238217,28238602-28238716	PF00173	http://pfam.sanger.ac.uk/family?acc=PF00173
15	28198496	28201512	-1	CPH_domain	124.9	28198496-28198503,28198601-28198769,28201456-28201512	PF11515	http://pfam.sanger.ac.uk/family?acc=PF11515
