#>P	ENSG00000163207	ENST00000368764	ENSP00000357753	1	152909798	152911552	1	involucrin [Source:HGNC Symbol;Acc:HGNC:6187]
#>E	ENSE00001793574	1	152909798-152911555
1	152909798	152910004	1	Involucrin_N	109.7	152909798-152910004	PF10583	http://pfam.sanger.ac.uk/family?acc=PF10583
1	152910893	152910922	1	Involucrin_rpt	73.6	152910893-152910922	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911214	152911243	1	Involucrin_rpt	73.6	152911214-152911243	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910413	152910442	1	Involucrin_rpt	73.6	152910413-152910442	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910353	152910382	1	Involucrin_rpt	73.6	152910353-152910382	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911064	152911093	1	Involucrin_rpt	73.6	152911064-152911093	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911034	152911063	1	Involucrin_rpt	73.6	152911034-152911063	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910773	152910802	1	Involucrin_rpt	73.6	152910773-152910802	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910566	152910592	1	Involucrin_rpt	73.6	152910566-152910592	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911274	152911303	1	Involucrin_rpt	73.6	152911274-152911303	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910593	152910619	1	Involucrin_rpt	73.6	152910593-152910619	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910683	152910709	1	Involucrin_rpt	73.6	152910683-152910709	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910107	152910133	1	Involucrin_rpt	73.6	152910107-152910133	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911394	152911423	1	Involucrin_rpt	73.6	152911394-152911423	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911304	152911333	1	Involucrin_rpt	73.6	152911304-152911333	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910713	152910742	1	Involucrin_rpt	73.6	152910713-152910742	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910293	152910322	1	Involucrin_rpt	73.6	152910293-152910322	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911184	152911213	1	Involucrin_rpt	73.6	152911184-152911213	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910803	152910832	1	Involucrin_rpt	73.6	152910803-152910832	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911244	152911273	1	Involucrin_rpt	73.6	152911244-152911273	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910923	152910952	1	Involucrin_rpt	73.6	152910923-152910952	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910383	152910412	1	Involucrin_rpt	73.6	152910383-152910412	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911154	152911180	1	Involucrin_rpt	73.6	152911154-152911180	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910536	152910562	1	Involucrin_rpt	73.6	152910536-152910562	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910443	152910472	1	Involucrin_rpt	73.6	152910443-152910472	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910263	152910292	1	Involucrin_rpt	73.6	152910263-152910292	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910653	152910682	1	Involucrin_rpt	73.6	152910653-152910682	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910953	152910982	1	Involucrin_rpt	73.6	152910953-152910982	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911364	152911390	1	Involucrin_rpt	73.6	152911364-152911390	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910863	152910889	1	Involucrin_rpt	73.6	152910863-152910889	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910983	152911012	1	Involucrin_rpt	73.6	152910983-152911012	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910323	152910352	1	Involucrin_rpt	73.6	152910323-152910352	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910473	152910502	1	Involucrin_rpt	73.6	152910473-152910502	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911013	152911042	1	Involucrin_rpt	73.6	152911013-152911042	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910743	152910772	1	Involucrin_rpt	73.6	152910743-152910772	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911124	152911150	1	Involucrin_rpt	73.6	152911124-152911150	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911094	152911123	1	Involucrin_rpt	73.6	152911094-152911123	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910623	152910652	1	Involucrin_rpt	73.6	152910623-152910652	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152911334	152911363	1	Involucrin_rpt	73.6	152911334-152911363	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910833	152910862	1	Involucrin_rpt	73.6	152910833-152910862	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
1	152910509	152910532	1	Involucrin_rpt	73.6	152910509-152910532	PF00904	http://pfam.sanger.ac.uk/family?acc=PF00904
