#>P	ENSG00000091128	ENST00000388781	ENSP00000373433	7	108024042	108123164	-1	laminin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]
#>E	ENSE00001025938,ENSE00003567363,ENSE00001241511,ENSE00003551878,ENSE00003680944,ENSE00003633117,ENSE00001337016,ENSE00001337017,ENSE00001025934,ENSE00001025930,ENSE00001424846,ENSE00001503941,ENSE00003642971,ENSE00003638876,ENSE00003530326,ENSE00003574234,ENSE00003610466,ENSE00003523139,ENSE00003540412,ENSE00003490612,ENSE00003561949,ENSE00003689752,ENSE00003542251,ENSE00003484546,ENSE00003542982,ENSE00003571128,ENSE00003533952,ENSE00003582151,ENSE00003571613,ENSE00003625001,ENSE00003635584,ENSE00003572730,ENSE00003634142	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	108024039-108024178,108029043-108029196,108030806-108030979,108034208-108034346,108037388-108037595,108043752-108043896,108047908-108048111,108049326-108049531,108052097-108052257,108055632-108056007,108057832-108057928,108062774-108062994,108063761-108063985,108065762-108065919,108066369-108066600,108068016-108068159,108069708-108069885,108076944-108077064,108078201-108078316,108079601-108079786,108091626-108091776,108092337-108092416,108095228-108095337,108098403-108098582,108103044-108103232,108104499-108104619,108105817-108106031,108106509-108106572,108107631-108107819,108109171-108109244,108111811-108111946,108116004-108116161,108123131-108123164
7	108105898	108116114	-1	Laminin_N	236.3	108105898-108106031,108106509-108106572,108107631-108107819,108109171-108109244,108111811-108111946,108116004-108116114	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
7	108057848	108062818	-1	Laminin_EGF	376.3	108057848-108057928,108062774-108062818	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108063765	108063914	-1	Laminin_EGF	376.3	108063765-108063914	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108068020	108068157	-1	Laminin_EGF	376.3	108068020-108068157	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108092378	108095335	-1	Laminin_EGF	376.3	108092378-108092416,108095228-108095335	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108066452	108066598	-1	Laminin_EGF	376.3	108066452-108066598	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108098407	108098580	-1	Laminin_EGF	376.3	108098407-108098580	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108062825	108062992	-1	Laminin_EGF	376.3	108062825-108062992	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108091695	108092371	-1	Laminin_EGF	376.3	108091695-108091776,108092337-108092371	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108055883	108056005	-1	Laminin_EGF	376.3	108055883-108056005	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108063921	108065867	-1	Laminin_EGF	376.3	108063921-108063985,108065762-108065867	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108104530	108105894	-1	Laminin_EGF	376.3	108104530-108104619,108105817-108105894	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	108103075	108103230	-1	Laminin_EGF	376.3	108103075-108103230	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
