#>P	ENSG00000091136	ENST00000222399	ENSP00000222399	7	107923954	108002885	-1	laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]
#>E	ENSE00001820525,ENSE00003574922,ENSE00003512676,ENSE00001644859,ENSE00001746254,ENSE00003648330,ENSE00001778578,ENSE00003666353,ENSE00001618310,ENSE00001761203,ENSE00003597625,ENSE00003488044,ENSE00002345671,ENSE00000715975,ENSE00000715992,ENSE00000716028,ENSE00000716060,ENSE00000716087,ENSE00000716111,ENSE00000716166,ENSE00000716210,ENSE00000716294,ENSE00000716366,ENSE00000716383,ENSE00000580733,ENSE00000580728,ENSE00000580727,ENSE00000580726,ENSE00000580730,ENSE00000716662,ENSE00000716667,ENSE00001303122,ENSE00001302756	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	107923951-107924087,107924230-107924389,107926183-107926359,107929064-107929205,107929412-107929619,107931356-107931500,107932174-107932377,107935415-107935656,107937093-107937277,107939989-107940358,107951226-107951322,107952009-107952223,107953530-107953754,107955467-107955630,107959249-107959480,107959691-107959834,107960445-107960649,107961206-107961329,107961549-107961676,107962905-107963063,107964552-107964687,107972992-107973071,107974986-107975098,107975234-107975413,107975689-107975877,107978047-107978167,107980609-107980811,107986022-107986085,107986175-107986363,107994887-107994960,107998357-107998492,108001558-108001733,108002849-108002885
7	107980681	108001668	-1	Laminin_N	260.1	107980681-107980811,107986022-107986085,107986175-107986363,107994887-107994960,107998357-107998492,108001558-108001668	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
7	107975238	107975411	-1	Laminin_EGF	383.6	107975238-107975411	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107953534	107953683	-1	Laminin_EGF	383.6	107953534-107953683	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107951239	107952053	-1	Laminin_EGF	383.6	107951239-107951322,107952009-107952053	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107975705	107975875	-1	Laminin_EGF	383.6	107975705-107975875	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107973033	107975096	-1	Laminin_EGF	383.6	107973033-107973071,107974986-107975096	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107964606	107973026	-1	Laminin_EGF	383.6	107964606-107964687,107972992-107973026	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107959350	107959478	-1	Laminin_EGF	383.6	107959350-107959478	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107978075	107980677	-1	Laminin_EGF	383.6	107978075-107978167,107980609-107980677	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107959695	107959832	-1	Laminin_EGF	383.6	107959695-107959832	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107940234	107940356	-1	Laminin_EGF	383.6	107940234-107940356	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107952060	107952221	-1	Laminin_EGF	383.6	107952060-107952221	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107953690	107955572	-1	Laminin_EGF	383.6	107953690-107953754,107955467-107955572	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
7	107955579	107959340	-1	Laminin_EGF	383.6	107955579-107955630,107959249-107959340	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
