#>P	ENSG00000197081	ENST00000356956	ENSP00000349437	6	159969247	160105081	1	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]
#>E	ENSE00001375794,ENSE00001086779,ENSE00001086761,ENSE00001086760,ENSE00001086769,ENSE00001086768,ENSE00001086798,ENSE00001086791,ENSE00001086849,ENSE00001086784,ENSE00001086790,ENSE00001086772,ENSE00001086774,ENSE00001086759,ENSE00003522992,ENSE00003594053,ENSE00001086771,ENSE00001086764,ENSE00001086781,ENSE00001086850,ENSE00001086860,ENSE00001086788,ENSE00001086789,ENSE00001086861,ENSE00001086780,ENSE00001086796,ENSE00001086799,ENSE00001086848,ENSE00001086767,ENSE00001086793,ENSE00001086846,ENSE00001086762,ENSE00001086853,ENSE00001086773,ENSE00001086785,ENSE00001086782,ENSE00001086863,ENSE00001086847,ENSE00001086859,ENSE00001086855,ENSE00001086858,ENSE00003522053,ENSE00003681685,ENSE00001086857,ENSE00001086758,ENSE00003553399,ENSE00003604815,ENSE00003690118	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	159969247-159969395,159991184-159991323,160009010-160009134,160010687-160010785,160024572-160024704,160027185-160027314,160029550-160029655,160032551-160032713,160032942-160033107,160034419-160034522,160040560-160040724,160043148-160043288,160044514-160044657,160045745-160045882,160046498-160046645,160047159-160047336,160047792-160047907,160048375-160048543,160050473-160050652,160056424-160056525,160058023-160058124,160058906-160059098,160060547-160060717,160061503-160061646,160061753-160061928,160062532-160062619,160063415-160063630,160064401-160064531,160064804-160064901,160068249-160068385,160069868-160070058,160071910-160072036,160072765-160072884,160073213-160073469,160073757-160073975,160075847-160075996,160078201-160078362,160079580-160079787,160080129-160080275,160083950-160084184,160084995-160085131,160088033-160088147,160089107-160089253,160089916-160090103,160096439-160096625,160102519-160102671,160103746-160103815,160104674-160105084
6	160080149	160080268	1	FN_type2_col-bd	60	160080149-160080268	PF00040	http://pfam.sanger.ac.uk/family?acc=PF00040
6	160047274	160050583	1	CIMR	1307.3	160047274-160047336,160047792-160047907,160048375-160048543,160050473-160050583	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160034474	160044611	1	CIMR	1307.3	160034474-160034522,160040560-160040724,160043148-160043288,160044514-160044611	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160009099	160029568	1	CIMR	1307.3	160009099-160009134,160010687-160010785,160024572-160024704,160027185-160027314,160029550-160029568	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160044618	160047252	1	CIMR	1307.3	160044618-160044657,160045745-160045882,160046498-160046645,160047159-160047252	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160050611	160059076	1	CIMR	1307.3	160050611-160050652,160056424-160056525,160058023-160058124,160058906-160059076	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160070011	160073316	1	CIMR	1307.3	160070011-160070058,160071910-160072036,160072765-160072884,160073213-160073316	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160060549	160061880	1	CIMR	1307.3	160060549-160060717,160061503-160061646,160061753-160061880	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160073341	160075879	1	CIMR	1307.3	160073341-160073469,160073757-160073975,160075847-160075879	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160083961	160088076	1	CIMR	1307.3	160083961-160084184,160084995-160085131,160088033-160088076	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160096501	160096620	1	CIMR	1307.3	160096501-160096620	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160075952	160079783	1	CIMR	1307.3	160075952-160075996,160078201-160078362,160079580-160079783	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160029614	160034467	1	CIMR	1307.3	160029614-160029655,160032551-160032713,160032942-160033107,160034419-160034467	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160064481	160070001	1	CIMR	1307.3	160064481-160064531,160064804-160064901,160068249-160068385,160069868-160070001	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160061893	160064471	1	CIMR	1307.3	160061893-160061928,160062532-160062619,160063415-160063630,160064401-160064471	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
6	160088086	160096479	1	CIMR	1307.3	160088086-160088147,160089107-160089253,160089916-160090103,160096439-160096479	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
