#>P	ENSG00000156218	ENST00000286744	ENSP00000286744	15	83655762	84037803	1	ADAMTS like 3 [Source:HGNC Symbol;Acc:HGNC:14633]
#>E	ENSE00003590176,ENSE00003618081,ENSE00003681860,ENSE00003661003,ENSE00003628438,ENSE00003495970,ENSE00003532146,ENSE00003622534,ENSE00003466898,ENSE00003628155,ENSE00003536183,ENSE00003574865,ENSE00003660934,ENSE00003508786,ENSE00003512437,ENSE00003648421,ENSE00003575379,ENSE00003542459,ENSE00003547770,ENSE00003532156,ENSE00003626438,ENSE00003526989,ENSE00003685004,ENSE00003617761,ENSE00003536980,ENSE00001158409,ENSE00001025226,ENSE00001158400,ENSE00001158698	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	83655762-83655830,83704389-83704508,83773523-83773650,83804650-83804695,83819811-83820047,83838089-83838215,83858766-83858840,83870802-83870959,83885101-83885212,83890109-83890247,83891329-83891379,83892684-83892888,83897858-83898005,83899647-83899731,83913092-83913378,83923904-83924033,83942596-83942788,83942903-83943082,83970484-83970637,83982273-83983344,83988691-83988818,83991086-83991214,84014542-84014724,84016383-84016499,84021410-84021593,84025238-84025436,84031335-84031432,84036773-84036987,84037700-84037806
15	84037705	84037797	1	PLAC	35.5	84037705-84037797	PF08686	http://pfam.sanger.ac.uk/family?acc=PF08686
15	84025248	84025334	1	TSP1_rpt	155.5	84025248-84025334	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	83942774	83942992	1	TSP1_rpt	155.5	83942774-83942788,83942903-83942992	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	83913102	83913215	1	TSP1_rpt	155.5	83913102-83913215	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	83892877	83897914	1	TSP1_rpt	155.5	83892877-83892888,83897858-83897914	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	83943068	83970633	1	TSP1_rpt	155.5	83943068-83943082,83970484-83970633	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	83892694	83892780	1	TSP1_rpt	155.5	83892694-83892780	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	83942606	83942755	1	TSP1_rpt	155.5	83942606-83942755	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	84021427	84021585	1	TSP1_rpt	155.5	84021427-84021585	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	83773571	83819816	1	TSP1_rpt	155.5	83773571-83773650,83804650-83804695,83819811-83819816	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	83991166	84014714	1	Ig_I-set	96.2	83991166-83991214,84014542-84014714	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
