#>P	ENSG00000074181	ENST00000263388	ENSP00000263388	19	15160665	15200905	-1	notch 3 [Source:HGNC Symbol;Acc:HGNC:7883]
#>E	ENSE00000873265,ENSE00003576639,ENSE00003591200,ENSE00000689489,ENSE00000689488,ENSE00000689486,ENSE00000689485,ENSE00000689484,ENSE00000689482,ENSE00002724304,ENSE00000689480,ENSE00003688412,ENSE00000873267,ENSE00000689477,ENSE00000689476,ENSE00000689475,ENSE00000689441,ENSE00000689414,ENSE00000689413,ENSE00000689392,ENSE00000348725,ENSE00000689390,ENSE00000689261,ENSE00000348722,ENSE00000689256,ENSE00000689254,ENSE00000689251,ENSE00000348718,ENSE00000689218,ENSE00000689090,ENSE00000689088,ENSE00001113195,ENSE00000873268	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15160662-15161714,15162465-15162562,15165368-15165515,15165787-15166091,15167249-15167411,15170086-15170170,15170331-15170553,15170671-15170825,15174068-15174400,15177525-15178090,15178823-15178941,15179025-15179282,15179364-15179496,15180072-15180256,15180681-15180828,15180961-15181162,15181576-15181801,15184295-15184450,15184906-15185019,15185257-15185408,15185487-15185679,15186878-15186988,15187105-15187338,15187881-15187994,15188235-15188348,15188989-15189174,15189273-15189428,15191424-15191657,15191745-15191867,15191960-15192298,15192377-15192519,15197500-15197578,15200788-15200905
19	15174127	15174291	-1	Notch_NOD_dom	72.7	15174127-15174291	PF06816	http://pfam.sanger.ac.uk/family?acc=PF06816
19	15160806	15160991	-1	DUF3454_notch	71.5	15160806-15160991	PF11936	http://pfam.sanger.ac.uk/family?acc=PF11936
19	15170537	15174075	-1	Notch_NODP_dom	79.1	15170537-15170553,15170671-15170825,15174068-15174075	PF07684	http://pfam.sanger.ac.uk/family?acc=PF07684
19	15179470	15180137	-1	EGF-like_dom	583.6	15179470-15179496,15180072-15180137	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15177815	15177913	-1	EGF-like_dom	583.6	15177815-15177913	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15180730	15180813	-1	EGF-like_dom	583.6	15180730-15180813	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15191854	15192038	-1	EGF-like_dom	583.6	15191854-15191867,15191960-15192038	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15187328	15187956	-1	EGF-like_dom	583.6	15187328-15187338,15187881-15187956	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15184443	15184993	-1	EGF-like_dom	583.6	15184443-15184450,15184906-15184993	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15191653	15191829	-1	EGF-like_dom	583.6	15191653-15191657,15191745-15191829	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15189427	15191508	-1	EGF-like_dom	583.6	15189427-15189428,15191424-15191508	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15189310	15189402	-1	EGF-like_dom	583.6	15189310-15189402	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15179140	15179229	-1	EGF-like_dom	583.6	15179140-15179229	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15187211	15187300	-1	EGF-like_dom	583.6	15187211-15187300	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15186984	15187189	-1	EGF-like_dom	583.6	15186984-15186988,15187105-15187189	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15187978	15188310	-1	EGF-like_dom	583.6	15187978-15187994,15188235-15188310	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15192492	15197570	-1	EGF-like_dom	583.6	15192492-15192519,15197500-15197570	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15192180	15192272	-1	EGF-like_dom	583.6	15192180-15192272	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15179371	15179448	-1	EGF-like_dom	583.6	15179371-15179448	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15181719	15184304	-1	EGF-like_dom	583.6	15181719-15181801,15184295-15184304	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15180159	15180236	-1	EGF-like_dom	583.6	15180159-15180236	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15181081	15181586	-1	EGF-like_dom	583.6	15181081-15181162,15181576-15181586	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	15174304	15177535	-1	Notch_dom	94.8	15174304-15174400,15177525-15177535	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
19	15177554	15177655	-1	Notch_dom	94.8	15177554-15177655	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
19	15177674	15177775	-1	Notch_dom	94.8	15177674-15177775	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
19	15165486	15165996	-1	Ankyrin_rpt-contain_dom	101.4	15165486-15165515,15165787-15165996	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
19	15161631	15165455	-1	Ankyrin_rpt-contain_dom	101.4	15161631-15161714,15162465-15162562,15165368-15165455	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
19	15185669	15186902	-1	EGF-like_CS	132	15185669-15185679,15186878-15186902	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
19	15185366	15185401	-1	EGF-like_CS	132	15185366-15185401	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
19	15191539	15191640	-1	EGF-like_Ca-bd_dom	204.7	15191539-15191640	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
19	15178937	15179130	-1	EGF-like_Ca-bd_dom	204.7	15178937-15178941,15179025-15179130	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
19	15189095	15189294	-1	EGF-like_Ca-bd_dom	204.7	15189095-15189174,15189273-15189294	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
19	15188341	15189076	-1	EGF-like_Ca-bd_dom	204.7	15188341-15188348,15188989-15189076	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
19	15181617	15181709	-1	EGF-like_Ca-bd_dom	204.7	15181617-15181709	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
19	15192069	15192167	-1	EGF-like_Ca-bd_dom	204.7	15192069-15192167	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
19	15184335	15184433	-1	EGF-like_Ca-bd_dom	204.7	15184335-15184433	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
