#>P	ENSG00000120868	ENST00000551964	ENSP00000448165	12	98648360	98732563	1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]
#>E	ENSE00001290131,ENSE00000922725,ENSE00000922727,ENSE00000818023,ENSE00000818024,ENSE00000818027,ENSE00000818028,ENSE00000818030,ENSE00000818033,ENSE00000818034,ENSE00000818037,ENSE00000818039,ENSE00000818041,ENSE00000818043,ENSE00000818044,ENSE00000818046,ENSE00003512160,ENSE00003561839,ENSE00003664048,ENSE00000818054,ENSE00000818055,ENSE00000818057,ENSE00003690186,ENSE00003681454,ENSE00000818063,ENSE00002417067	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98648360-98648497,98648626-98648815,98649487-98649684,98659160-98659343,98662456-98662568,98662675-98662806,98665553-98665791,98666190-98666357,98667513-98667644,98670973-98671086,98671535-98671719,98677425-98677551,98680277-98680402,98683143-98683274,98686748-98686873,98699408-98699569,98703371-98703499,98706485-98706610,98708585-98708704,98712319-98712435,98715427-98715552,98723193-98723312,98723639-98723764,98725415-98725540,98727173-98727316,98732420-98732566
12	98649546	98666228	1	NB-ARC	273.7	98649546-98649684,98659160-98659343,98662456-98662568,98662675-98662806,98665553-98665791,98666190-98666228	PF00931	http://pfam.sanger.ac.uk/family?acc=PF00931
12	98677465	98680282	1	WD40_repeat	205.3	98677465-98677551,98680277-98680282	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
12	98723666	98725423	1	WD40_repeat	205.3	98723666-98723764,98725415-98725423	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
12	98727239	98732428	1	WD40_repeat	205.3	98727239-98727316,98732420-98732428	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
12	98680298	98683151	1	WD40_repeat	205.3	98680298-98680402,98683143-98683151	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
12	98715469	98723201	1	WD40_repeat	205.3	98715469-98715552,98723193-98723201	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
12	98686772	98699416	1	WD40_repeat	205.3	98686772-98686873,98699408-98699416	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
12	98725439	98727181	1	WD40_repeat	205.3	98725439-98725540,98727173-98727181	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
12	98706512	98708590	1	WD40_repeat	205.3	98706512-98706610,98708585-98708590	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
12	98683161	98686756	1	WD40_repeat	205.3	98683161-98683274,98686748-98686756	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
12	98648375	98648754	1	CARD	68.6	98648375-98648497,98648626-98648754	PF00619	http://pfam.sanger.ac.uk/family?acc=PF00619
