#>P	ENSG00000181222	ENST00000617998	ENSP00000480158	17	7484765	7514204	1	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]
#>E	ENSE00003737418,ENSE00001263981,ENSE00001263978,ENSE00001263973,ENSE00001263971,ENSE00001263969,ENSE00001263966,ENSE00001504691,ENSE00001263956,ENSE00003747105,ENSE00003721138,ENSE00003722051,ENSE00003743817,ENSE00003714282,ENSE00003717237,ENSE00003713495,ENSE00003749298,ENSE00003732035,ENSE00003745504,ENSE00003740422,ENSE00003735535,ENSE00003712128,ENSE00003730140,ENSE00003754448,ENSE00003748236,ENSE00003738252,ENSE00003725410,ENSE00003730894,ENSE00003723274	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7484765-7484857,7495941-7496073,7496210-7496346,7496440-7496613,7496764-7497045,7497356-7497517,7497650-7497870,7498078-7498210,7499039-7499163,7499281-7499491,7500639-7500848,7500940-7501108,7501289-7501383,7501526-7501729,7501900-7502122,7502518-7502701,7503121-7503292,7503385-7503490,7503586-7503791,7508251-7508475,7508944-7509190,7509532-7509632,7511215-7511319,7511406-7511588,7511811-7512014,7512158-7512344,7512477-7512590,7512774-7512923,7513021-7514207
17	7502631	7503788	1	RNA_pol_Rpb1_6	228.1	7502631-7502701,7503121-7503292,7503385-7503490,7503586-7503788	PF04992	http://pfam.sanger.ac.uk/family?acc=PF04992
17	7497734	7499383	1	RNA_pol_asu	250.5	7497734-7497870,7498078-7498210,7499039-7499163,7499281-7499383	PF00623	http://pfam.sanger.ac.uk/family?acc=PF00623
17	7502038	7511984	1	RNA_pol_Rpb1_5	335.7	7502038-7502122,7502518-7502701,7503121-7503292,7503385-7503490,7503586-7503791,7508251-7508475,7508944-7509190,7509532-7509632,7511215-7511319,7511406-7511588,7511811-7511984	PF04998	http://pfam.sanger.ac.uk/family?acc=PF04998
17	7513278	7513319	1	RNA_pol_II_repeat_euk	31	7513278-7513319	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513572	7513613	1	RNA_pol_II_repeat_euk	31	7513572-7513613	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513320	7513361	1	RNA_pol_II_repeat_euk	31	7513320-7513361	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513656	7513697	1	RNA_pol_II_repeat_euk	31	7513656-7513697	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513362	7513403	1	RNA_pol_II_repeat_euk	31	7513362-7513403	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513404	7513445	1	RNA_pol_II_repeat_euk	31	7513404-7513445	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513446	7513487	1	RNA_pol_II_repeat_euk	31	7513446-7513487	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513236	7513277	1	RNA_pol_II_repeat_euk	31	7513236-7513277	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513614	7513655	1	RNA_pol_II_repeat_euk	31	7513614-7513655	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513152	7513193	1	RNA_pol_II_repeat_euk	31	7513152-7513193	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513533	7513571	1	RNA_pol_II_repeat_euk	31	7513533-7513571	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513488	7513529	1	RNA_pol_II_repeat_euk	31	7513488-7513529	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513110	7513151	1	RNA_pol_II_repeat_euk	31	7513110-7513151	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7513194	7513235	1	RNA_pol_II_repeat_euk	31	7513194-7513235	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7512830	7512871	1	RNA_pol_II_repeat_euk	31	7512830-7512871	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
17	7499393	7501311	1	RNA_pol_Rpb1_3	171.5	7499393-7499491,7500639-7500848,7500940-7501108,7501289-7501311	PF04983	http://pfam.sanger.ac.uk/family?acc=PF04983
17	7508968	7511298	1	RNA_pol_Rpb1_7	183.3	7508968-7509190,7509532-7509632,7511215-7511298	PF04990	http://pfam.sanger.ac.uk/family?acc=PF04990
17	7501532	7502019	1	RNA_pol_Rpb1_4	130.3	7501532-7501729,7501900-7502019	PF05000	http://pfam.sanger.ac.uk/family?acc=PF05000
17	7484810	7497730	1	RNA_pol_Rpb1_1	364.7	7484810-7484857,7495941-7496073,7496210-7496346,7496440-7496613,7496764-7497045,7497356-7497517,7497650-7497730	PF04997	http://pfam.sanger.ac.uk/family?acc=PF04997
