#>P	ENSG00000050555	ENST00000361069	ENSP00000354360	9	131009215	131091784	1	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]
#>E	ENSE00001865686,ENSE00003647272,ENSE00003527174,ENSE00003683355,ENSE00003515571,ENSE00003622077,ENSE00003521348,ENSE00001141322,ENSE00001141317,ENSE00001141311,ENSE00001141305,ENSE00001141297,ENSE00000896096,ENSE00000896097,ENSE00001095078,ENSE00001141273,ENSE00001141268,ENSE00000868164,ENSE00001141256,ENSE00000732606,ENSE00001141244,ENSE00001141238,ENSE00000868166,ENSE00001369998,ENSE00000732612,ENSE00003661972,ENSE00003475762,ENSE00001141354	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	131009215-131009587,131026285-131026589,131032045-131032175,131036166-131036332,131038864-131039052,131039131-131039248,131041637-131041735,131045524-131045660,131049020-131049130,131052491-131052683,131052850-131052965,131056929-131057147,131061035-131061223,131066960-131067205,131068078-131068231,131068908-131069050,131069672-131069850,131071484-131071625,131072630-131072835,131073245-131073321,131075831-131075965,131077187-131077334,131079149-131079298,131082059-131082161,131085524-131085723,131087476-131087622,131087718-131087817,131091537-131091787
9	131009317	131032173	1	Laminin_N	249.7	131009317-131009587,131026285-131026589,131032045-131032173	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
9	131049121	131057002	1	Laminin_IV	68.3	131049121-131049130,131052491-131052683,131052850-131052965,131056929-131057002	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
9	131057108	131061132	1	Laminin_EGF	286.4	131057108-131057147,131061035-131061132	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131068080	131068226	1	Laminin_EGF	286.4	131068080-131068226	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131067040	131067186	1	Laminin_EGF	286.4	131067040-131067186	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131039034	131039246	1	Laminin_EGF	286.4	131039034-131039052,131039131-131039246	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131038866	131039018	1	Laminin_EGF	286.4	131038866-131039018	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131041641	131045572	1	Laminin_EGF	286.4	131041641-131041735,131045524-131045572	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131057006	131057071	1	Laminin_EGF	286.4	131057006-131057071	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131061139	131067024	1	Laminin_EGF	286.4	131061139-131061223,131066960-131067024	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131068909	131069031	1	Laminin_EGF	286.4	131068909-131069031	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131069674	131069820	1	Laminin_EGF	286.4	131069674-131069820	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
9	131036167	131036298	1	Laminin_EGF	286.4	131036167-131036298	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
