#>P	ENSG00000143126	ENST00000271332	ENSP00000271332	1	109250080	109274046	1	cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]
#>E	ENSE00000958214,ENSE00000958215,ENSE00001639600,ENSE00000958217,ENSE00000958218,ENSE00000958219,ENSE00000958220,ENSE00000958221,ENSE00000958222,ENSE00000958223,ENSE00000958224,ENSE00000958225,ENSE00000958226,ENSE00003469354,ENSE00000958228,ENSE00000958229,ENSE00000958230,ENSE00000958231,ENSE00000958232,ENSE00000958233,ENSE00000958234,ENSE00000958235,ENSE00000958236,ENSE00000958237,ENSE00000958238,ENSE00003482811,ENSE00000958240,ENSE00003252093,ENSE00003665062,ENSE00003370777,ENSE00003508849,ENSE00003588301,ENSE00003571987,ENSE00001813109	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	109250080-109253389,109258432-109259079,109261042-109261264,109261513-109261628,109261808-109261896,109262287-109262444,109262806-109262969,109263142-109263267,109263611-109263777,109264078-109264365,109264454-109264628,109264868-109265009,109265191-109265311,109265735-109265918,109266105-109266206,109267548-109267642,109267851-109268060,109268581-109268764,109268880-109269008,109269110-109269290,109269424-109269591,109269694-109269820,109269933-109270133,109270426-109270600,109270927-109271039,109271217-109271296,109271386-109271512,109271600-109271722,109272278-109272405,109272640-109272728,109272833-109273027,109273166-109273336,109273436-109273670,109274022-109274049
1	109269951	109271611	1	GPCR_2_secretin-like	154.2	109269951-109270133,109270426-109270600,109270927-109271039,109271217-109271296,109271386-109271512,109271600-109271611	PF00002	http://pfam.sanger.ac.uk/family?acc=PF00002
1	109263165	109263254	1	EGF-like_dom	50.8	109263165-109263254	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
1	109269560	109269799	1	GPS	55	109269560-109269591,109269694-109269799	PF01825	http://pfam.sanger.ac.uk/family?acc=PF01825
1	109263706	109264471	1	Laminin_G	163.2	109263706-109263777,109264078-109264365,109264454-109264471	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
1	109261514	109262920	1	Laminin_G	163.2	109261514-109261628,109261808-109261896,109262287-109262444,109262806-109262920	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
1	109265777	109265899	1	Laminin_EGF	36.3	109265777-109265899	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	109267896	109269475	1	GAIN_dom_N	212.1	109267896-109268060,109268581-109268764,109268880-109269008,109269110-109269290,109269424-109269475	PF16489	http://pfam.sanger.ac.uk/family?acc=PF16489
1	109252861	109253118	1	Cadherin	566.8	109252861-109253118	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
1	109252537	109252815	1	Cadherin	566.8	109252537-109252815	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
1	109251289	109251564	1	Cadherin	566.8	109251289-109251564	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
1	109250635	109250919	1	Cadherin	566.8	109250635-109250919	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
1	109251922	109252188	1	Cadherin	566.8	109251922-109252188	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
1	109251610	109251882	1	Cadherin	566.8	109251610-109251882	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
1	109252228	109252494	1	Cadherin	566.8	109252228-109252494	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
1	109250962	109251234	1	Cadherin	566.8	109250962-109251234	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
