#>P	ENSG00000109927	ENST00000392793	ENSP00000376543	11	121102666	121190803	1	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]
#>E	ENSE00001513132,ENSE00000748785,ENSE00000990495,ENSE00000990497,ENSE00000990499,ENSE00000990501,ENSE00000748790,ENSE00000748791,ENSE00000748792,ENSE00000990505,ENSE00000990507,ENSE00000990509,ENSE00000990511,ENSE00000990512,ENSE00000748800,ENSE00000748802,ENSE00000748804,ENSE00000748806,ENSE00000748808,ENSE00000748811,ENSE00000748813,ENSE00000748815,ENSE00001513130	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	121102666-121102729,121105831-121105964,121109211-121109498,121113072-121113209,121113553-121113718,121118306-121118718,121125302-121125872,121127752-121128344,121129638-121130211,121137421-121138022,121145555-121146116,121152881-121153080,121157841-121158224,121160135-121160421,121162075-121162370,121165273-121165383,121166578-121166780,121168054-121168217,121168677-121168925,121187832-121187994,121189080-121189167,121189764-121189880,121190706-121190806
11	121166610	121189085	1	ZP_dom	153	121166610-121166780,121168054-121168217,121168677-121168925,121187832-121187994,121189080-121189085	PF00100	http://pfam.sanger.ac.uk/family?acc=PF00100
11	121113075	121113678	1	NIDO_dom	93.8	121113075-121113209,121113553-121113678	PF06119	http://pfam.sanger.ac.uk/family?acc=PF06119
11	121153051	121157972	1	TILa_dom	67.8	121153051-121153080,121157841-121157972	PF12714	http://pfam.sanger.ac.uk/family?acc=PF12714
11	121127931	121128092	1	TILa_dom	67.8	121127931-121128092	PF12714	http://pfam.sanger.ac.uk/family?acc=PF12714
11	121162166	121162369	1	Unchr_dom_Cys-rich	189.7	121162166-121162369	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
11	121125665	121125871	1	Unchr_dom_Cys-rich	189.7	121125665-121125871	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
11	121130004	121130210	1	Unchr_dom_Cys-rich	189.7	121130004-121130210	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
11	121145912	121146115	1	Unchr_dom_Cys-rich	189.7	121145912-121146115	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
11	121137429	121137587	1	TIL_dom	88.2	121137429-121137587	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
11	121127766	121127927	1	TIL_dom	88.2	121127766-121127927	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
11	121152889	121153050	1	TIL_dom	88.2	121152889-121153050	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
11	121118479	121125529	1	VWF_type-D	486.7	121118479-121118718,121125302-121125529	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
11	121137777	121145782	1	VWF_type-D	486.7	121137777-121138022,121145555-121145782	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
11	121128114	121129868	1	VWF_type-D	486.7	121128114-121128344,121129638-121129868	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
11	121157994	121160359	1	VWF_type-D	486.7	121157994-121158224,121160135-121160359	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
