#>P	ENSG00000163638	ENST00000498707	ENSP00000418735	3	64522174	64687657	-1	ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202]
#>E	ENSE00003716272,ENSE00001339979,ENSE00001339983,ENSE00001339985,ENSE00001339988,ENSE00001339989,ENSE00001339992,ENSE00001339995,ENSE00001205908,ENSE00003689376,ENSE00003635149,ENSE00003595161,ENSE00003585800,ENSE00003505322,ENSE00003595049,ENSE00003568127,ENSE00003683330,ENSE00003676568,ENSE00003561749,ENSE00003685581,ENSE00003691770,ENSE00003534279,ENSE00003561061,ENSE00003631355,ENSE00003597236,ENSE00003530643,ENSE00003560611,ENSE00003588794,ENSE00003629206,ENSE00003594785,ENSE00003564975,ENSE00003672745,ENSE00003501857,ENSE00003487562,ENSE00003610692,ENSE00003558417,ENSE00003542560,ENSE00003510397,ENSE00001849629	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	64522171-64522260,64533166-64533270,64539203-64539294,64541095-64541228,64541320-64541414,64541526-64541620,64541838-64541970,64546758-64546952,64550892-64551062,64561578-64561751,64568368-64568535,64594258-64594434,64596830-64596991,64601944-64602213,64603922-64604089,64604227-64604331,64606960-64607079,64613345-64613509,64615321-64615485,64615960-64616170,64621114-64621240,64622198-64622327,64622420-64622586,64631455-64631550,64631808-64631925,64633472-64633608,64633698-64633879,64641848-64641993,64647940-64648044,64649637-64649778,64651017-64651163,64654353-64654458,64654572-64654612,64655576-64655691,64655792-64655875,64658502-64658791,64681201-64681363,64686568-64686968,64687543-64687657
3	64649745	64658594	-1	Peptidase_M12B	97.5	64649745-64649778,64651017-64651163,64654353-64654458,64654572-64654612,64655576-64655691,64655792-64655875,64658502-64658594	PF01421	http://pfam.sanger.ac.uk/family?acc=PF01421
3	64522177	64541612	-1	Pept_M12B_GON-ADAMTSs	276.6	64522177-64522260,64533166-64533270,64539203-64539294,64541095-64541228,64541320-64541414,64541526-64541612	PF08685	http://pfam.sanger.ac.uk/family?acc=PF08685
3	64622271	64631844	-1	ADAM_spacer1	113.1	64622271-64622327,64622420-64622586,64631455-64631550,64631808-64631844	PF05986	http://pfam.sanger.ac.uk/family?acc=PF05986
3	64681259	64686939	-1	Peptidase_M12B_N	136.9	64681259-64681363,64686568-64686939	PF01562	http://pfam.sanger.ac.uk/family?acc=PF01562
3	64603952	64604244	-1	TSP1_rpt	210.2	64603952-64604089,64604227-64604244	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64561701	64568382	-1	TSP1_rpt	210.2	64561701-64561751,64568368-64568382	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64546896	64550909	-1	TSP1_rpt	210.2	64546896-64546952,64550892-64550909	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64568461	64594275	-1	TSP1_rpt	210.2	64568461-64568535,64594258-64594275	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64604311	64613359	-1	TSP1_rpt	210.2	64604311-64604331,64606960-64607079,64613345-64613359	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64602076	64603933	-1	TSP1_rpt	210.2	64602076-64602213,64603922-64603933	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64541848	64546772	-1	TSP1_rpt	210.2	64541848-64541970,64546758-64546772	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64550925	64561592	-1	TSP1_rpt	210.2	64550925-64551062,64561578-64561592	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64615351	64615974	-1	TSP1_rpt	210.2	64615351-64615485,64615960-64615974	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64596860	64601961	-1	TSP1_rpt	210.2	64596860-64596991,64601944-64601961	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64633810	64641927	-1	TSP1_rpt	210.2	64633810-64633879,64641848-64641927	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64613375	64615335	-1	TSP1_rpt	210.2	64613375-64613509,64615321-64615335	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
3	64594297	64596844	-1	TSP1_rpt	210.2	64594297-64594434,64596830-64596844	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
