#>P	ENSG00000187908	ENST00000368909	ENSP00000357905	10	122560771	122643395	1	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]
#>E	ENSE00002691801,ENSE00002475355,ENSE00002488975,ENSE00002502539,ENSE00002533634,ENSE00002439404,ENSE00002515425,ENSE00002531408,ENSE00002441342,ENSE00002492233,ENSE00002443680,ENSE00002494396,ENSE00002433600,ENSE00002433470,ENSE00002481947,ENSE00002454579,ENSE00002511126,ENSE00002451519,ENSE00002464367,ENSE00002510955,ENSE00002436096,ENSE00002439352,ENSE00002501963,ENSE00002452206,ENSE00002534429,ENSE00002453235,ENSE00002441292,ENSE00002441948,ENSE00002440719,ENSE00002527923,ENSE00002432686,ENSE00002463456,ENSE00002500691,ENSE00002498214,ENSE00002492459,ENSE00002435552,ENSE00002452573,ENSE00002455617,ENSE00002496410,ENSE00002479569,ENSE00002460312,ENSE00002484394,ENSE00002533153,ENSE00002489010,ENSE00002431864,ENSE00001706275,ENSE00001799353,ENSE00001628081,ENSE00001786834,ENSE00001739142,ENSE00001654461,ENSE00001637864,ENSE00001603791	1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1	122560771-122560831,122565967-122565996,122570162-122570209,122570890-122570937,122572314-122572361,122573715-122573762,122576399-122576722,122577811-122577840,122578718-122578759,122579578-122579901,122580866-122580895,122581793-122581825,122582600-122582923,122584322-122584351,122585271-122585309,122586060-122586383,122588944-122589267,122590665-122590694,122591479-122591517,122592272-122592595,122593569-122593598,122594496-122594528,122595303-122595626,122597025-122597054,122597974-122598012,122598774-122599097,122600064-122600093,122600991-122601023,122601797-122602120,122603100-122603129,122605050-122605082,122605856-122606179,122607159-122607188,122609109-122609141,122609915-122610238,122611218-122611247,122617228-122617260,122618017-122618340,122619308-122619337,122620253-122620291,122621057-122621380,122625277-122625303,122625933-122625965,122629840-122629993,122630288-122630490,122630961-122631281,122631855-122631875,122632861-122632890,122633191-122633341,122635991-122636199,122637128-122637312,122640040-122640449,122643122-122643398
10	122637136	122643290	1	ZP_dom	155.4	122637136-122637312,122640040-122640449,122643122-122643290	PF00100	http://pfam.sanger.ac.uk/family?acc=PF00100
10	122631005	122631280	1	SRCR	1453.1	122631005-122631280	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122595332	122595625	1	SRCR	1453.1	122595332-122595625	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122609944	122610237	1	SRCR	1453.1	122609944-122610237	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122601826	122602119	1	SRCR	1453.1	122601826-122602119	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122605885	122606178	1	SRCR	1453.1	122605885-122606178	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122576428	122576721	1	SRCR	1453.1	122576428-122576721	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122592301	122592594	1	SRCR	1453.1	122592301-122592594	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122618046	122618339	1	SRCR	1453.1	122618046-122618339	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122582629	122582922	1	SRCR	1453.1	122582629-122582922	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122598803	122599096	1	SRCR	1453.1	122598803-122599096	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122588973	122589266	1	SRCR	1453.1	122588973-122589266	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122621086	122621379	1	SRCR	1453.1	122621086-122621379	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122586089	122586382	1	SRCR	1453.1	122586089-122586382	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122579607	122579900	1	SRCR	1453.1	122579607-122579900	PF00530	http://pfam.sanger.ac.uk/family?acc=PF00530
10	122633202	122636171	1	CUB_dom	192.5	122633202-122633341,122635991-122636171	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
10	122629854	122630474	1	CUB_dom	192.5	122629854-122629993,122630288-122630474	PF00431	http://pfam.sanger.ac.uk/family?acc=PF00431
