#>P	ENSG00000198453	ENST00000619231	ENSP00000481819	19	36922771	36951085	1	zinc finger protein 568 [Source:HGNC Symbol;Acc:HGNC:25392]
#>E	ENSE00003733003,ENSE00003575827,ENSE00003466969,ENSE00002500840,ENSE00003726397	0,0,0,0,0	36922771-36922846,36925200-36925258,36936746-36936872,36937147-36937242,36949512-36951088
19	36936752	36937148	1	KRAB	85.6	36936752-36936872,36937147-36937148	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	36950489	36950557	1	Znf_C2H2	301.7	36950489-36950557	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	36949985	36950053	1	Znf_C2H2	301.7	36949985-36950053	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	36950825	36950893	1	Znf_C2H2	301.7	36950825-36950893	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	36950573	36950641	1	Znf_C2H2	301.7	36950573-36950641	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	36950909	36950977	1	Znf_C2H2	301.7	36950909-36950977	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	36950657	36950725	1	Znf_C2H2	301.7	36950657-36950725	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	36949901	36949969	1	Znf_C2H2	301.7	36949901-36949969	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	36950405	36950473	1	Znf_C2H2	301.7	36950405-36950473	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	36950153	36950221	1	Znf_C2H2	301.7	36950153-36950221	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	36950741	36950809	1	Znf_C2H2	133.4	36950741-36950809	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
