#>P	ENSG00000236236	ENST00000412618	ENSP00000406495	CHR_HSCHR6_MHC_SSTO_CTG1	32034004	32060653	-1	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]
#>E	ENSE00003537297,ENSE00003570986,ENSE00003622584,ENSE00003515074,ENSE00003619663,ENSE00003588099,ENSE00003655612,ENSE00003532399,ENSE00003626956,ENSE00003497584,ENSE00003619914,ENSE00003719232,ENSE00003513579,ENSE00003627553,ENSE00001780804,ENSE00001609471,ENSE00001732825,ENSE00001739449,ENSE00001796326,ENSE00001697692,ENSE00001642497,ENSE00001754558,ENSE00001795510,ENSE00001699380,ENSE00001702397,ENSE00001601319,ENSE00001753115	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	32034001-32034102,32034423-32034586,32034664-32034825,32034918-32035014,32035107-32035258,32035351-32035483,32035603-32035733,32035827-32035970,32036089-32036208,32036401-32036544,32036659-32036781,32037033-32037368,32037658-32037978,32038827-32039108,32040386-32040664,32041015-32041302,32041922-32042239,32042650-32042940,32045322-32045645,32046040-32046330,32048503-32048826,32049238-32049555,32050710-32051042,32054049-32054372,32054809-32055135,32057473-32057769,32060330-32060653
CHR_HSCHR6_MHC_SSTO_CTG1	32034030	32035240	-1	Fibrinogen_a/b/g_C_dom	302.9	32034030-32034102,32034423-32034586,32034664-32034825,32034918-32035014,32035107-32035240	PF00147	http://pfam.sanger.ac.uk/family?acc=PF00147
CHR_HSCHR6_MHC_SSTO_CTG1	32035387	32035724	-1	FN3_dom	861.1	32035387-32035483,32035603-32035724	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32041066	32041263	-1	FN3_dom	861.1	32041066-32041263	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32054842	32055057	-1	FN3_dom	861.1	32054842-32055057	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32040410	32040634	-1	FN3_dom	861.1	32040410-32040634	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32060366	32060575	-1	FN3_dom	861.1	32060366-32060575	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32041958	32042167	-1	FN3_dom	861.1	32041958-32042167	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32049259	32049486	-1	FN3_dom	861.1	32049259-32049486	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32048539	32048748	-1	FN3_dom	861.1	32048539-32048748	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32057506	32057718	-1	FN3_dom	861.1	32057506-32057718	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32035863	32036196	-1	FN3_dom	861.1	32035863-32035970,32036089-32036196	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32038872	32039075	-1	FN3_dom	861.1	32038872-32039075	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32046061	32046288	-1	FN3_dom	861.1	32046061-32046288	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32042683	32042898	-1	FN3_dom	861.1	32042683-32042898	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32045358	32045567	-1	FN3_dom	861.1	32045358-32045567	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32036437	32036772	-1	FN3_dom	861.1	32036437-32036544,32036659-32036772	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32037084	32037323	-1	FN3_dom	861.1	32037084-32037323	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32054085	32054294	-1	FN3_dom	861.1	32054085-32054294	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32050746	32050955	-1	FN3_dom	861.1	32050746-32050955	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
CHR_HSCHR6_MHC_SSTO_CTG1	32037694	32037900	-1	FN3_dom	861.1	32037694-32037900	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
