#>P	ENSG00000010327	ENST00000321725	ENSP00000312946	3	52495414	52524353	1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]
#>E	ENSE00000923293,ENSE00003557930,ENSE00003482387,ENSE00003685020,ENSE00003463008,ENSE00003541117,ENSE00003607286,ENSE00003636942,ENSE00003570669,ENSE00003568783,ENSE00003579680,ENSE00003542875,ENSE00003686314,ENSE00003575321,ENSE00003622361,ENSE00003505842,ENSE00003598304,ENSE00003687236,ENSE00003648553,ENSE00003612080,ENSE00003584133,ENSE00000923314,ENSE00000923315,ENSE00000923316,ENSE00000860936,ENSE00000923318,ENSE00000923319,ENSE00000770919,ENSE00000770921,ENSE00000770923,ENSE00000923323,ENSE00000923324,ENSE00000770929,ENSE00000860937,ENSE00000860938,ENSE00000923328,ENSE00001242597,ENSE00001242410,ENSE00001126631,ENSE00003624738,ENSE00001126621,ENSE00001126614,ENSE00003661203,ENSE00003460450,ENSE00001126594,ENSE00001126583,ENSE00001126577,ENSE00003563491,ENSE00003498218,ENSE00001126552,ENSE00001242396,ENSE00001126537,ENSE00003467782,ENSE00001242809,ENSE00001126522,ENSE00003555038,ENSE00003619907,ENSE00003525128,ENSE00003472162,ENSE00003612892,ENSE00003526761,ENSE00003487599,ENSE00003547956,ENSE00003475393,ENSE00001242349,ENSE00001126472,ENSE00003580507,ENSE00003685326,ENSE00001951570	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	52495414-52495491,52501166-52501302,52501638-52501753,52502006-52502091,52502159-52502228,52502632-52502727,52502999-52503109,52503344-52503540,52503772-52503902,52504028-52504155,52504461-52504549,52504739-52504876,52505003-52505143,52505319-52505381,52505668-52505781,52505883-52505936,52506170-52506250,52506692-52506850,52507613-52507675,52507931-52508026,52508273-52508359,52509210-52509321,52509870-52510056,52510142-52510235,52510349-52510507,52511650-52511745,52512341-52512436,52512596-52512643,52512828-52512958,52513130-52513241,52513717-52513794,52513883-52513981,52514115-52514213,52514365-52514496,52514701-52514829,52514989-52515045,52515423-52515506,52516043-52516238,52516356-52516451,52516542-52516587,52516692-52516768,52516984-52517109,52517320-52517393,52517550-52517624,52517881-52518003,52518312-52518359,52518536-52518613,52518723-52518869,52519264-52519404,52519505-52519564,52519944-52520120,52520204-52520290,52520400-52520549,52520642-52520698,52520804-52521005,52521361-52521510,52521596-52521700,52521844-52521951,52522037-52522230,52522330-52522474,52522555-52522688,52522775-52522940,52523025-52523134,52523222-52523341,52523427-52523576,52523652-52523756,52523871-52524017,52524100-52524213,52524300-52524356
3	52522569	52522930	1	Link_dom	93.6	52522569-52522688,52522775-52522930	PF00193	http://pfam.sanger.ac.uk/family?acc=PF00193
3	52512614	52513894	1	FAS1_domain	322.8	52512614-52512643,52512828-52512958,52513130-52513241,52513717-52513794,52513883-52513894	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
3	52513952	52514712	1	FAS1_domain	322.8	52513952-52513981,52514115-52514213,52514365-52514496,52514701-52514712	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
3	52519538	52520498	1	FAS1_domain	322.8	52519538-52519564,52519944-52520120,52520204-52520290,52520400-52520498	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
3	52518542	52519359	1	FAS1_domain	322.8	52518542-52518613,52518723-52518869,52519264-52519359	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
3	52504460	52505095	1	FAS1_domain	322.8	52504460-52504549,52504739-52504876,52505003-52505095	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
3	52505352	52506790	1	FAS1_domain	322.8	52505352-52505381,52505668-52505781,52505883-52505936,52506170-52506250,52506692-52506790	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
3	52522048	52522155	1	EGF_dom	160.7	52522048-52522155	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
3	52511713	52512418	1	EGF_dom	160.7	52511713-52511745,52512341-52512418	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
3	52517331	52517591	1	EGF_dom	160.7	52517331-52517393,52517550-52517591	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
3	52516995	52517105	1	EGF_dom	160.7	52516995-52517105	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
